agent,games,win_rate_%,ci95_pp,avg_turns,avg_hp_us,search_fire_%_turns,search_moves / game,search_switches / game,search_diff / game,override_%_of_search,ko_checks / game,endgame / game,loop_guards / game,setup / game,hazards / game,tera / game
v18 UCB1 (HP leaf),28000,54.02142857142857,0.58372491172167,18.53067857142857,1.2075,18.05587892390797,3.7565,0.6081071428571428,3.125607142857143,71.3358664047506,14.162678571428572,0.033357142857142856,0.09825,0.22339285714285714,0.04625,0.4055357142857143
v19 UCB1 (positional leaf),28000,53.285714285714285,0.5843561869385325,18.575642857142856,1.2162142857142857,17.620718033773393,3.3971428571428572,0.8731785714285715,3.0732857142857144,71.09737932068857,14.192535714285714,0.029142857142857144,0.25960714285714287,0.21875,0.046892857142857146,0.3935
v20 PUCT (v14 prior 0.70),28000,59.660714285714285,0.5745882578143435,18.32692857142857,1.3972857142857142,15.504310776184926,2.604392857142857,1.06875,0.7867142857142857,18.65860038932793,14.543464285714286,0.028035714285714285,0.3465714285714286,0.2015,0.03528571428571429,0.38807142857142857
