matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9767,97.67,23.4691,3.8671,0.0287,0.29566958068595156,Baseline,✅ N=10k
max_power,10000,8701,87.01,17.7457,2.3196,0.1268,0.6589269202674801,Baseline,✅ N=10k
v22,10000,7123,71.23,19.3042,1.6561,0.5035,0.8872571220581824,Pure Imitation,✅ N=10k
v6,10000,6223,62.23,17.1589,1.2674,0.383,0.9502141293252544,Heuristic (Basic),✅ N=10k
v2,10000,6214,62.13999999999999,17.1801,1.2572,0.3799,0.9506573718919421,Heuristic (Basic),✅ N=10k
safe_one_step,10000,6209,62.09,16.9848,1.2531,0.3781,0.9509021145568144,Baseline,✅ N=10k
v1,10000,6182,61.82,17.2743,1.2643,0.3784,0.9522052100463937,Heuristic (Basic),✅ N=10k
v3,10000,6159,61.59,17.3142,1.2452,0.385,0.9532906790231002,Heuristic (Basic),✅ N=10k
one_step,10000,6144,61.44,17.0398,1.2389,0.3871,0.9539864520326963,Baseline,✅ N=10k
v5,10000,6139,61.39,17.114,1.2415,0.3893,0.954216250745246,Heuristic (Basic),✅ N=10k
v4,10000,6097,60.97,17.1638,1.2381,0.3902,0.9561047243864055,Heuristic (Basic),✅ N=10k
v19,1000,525,52.5,18.16,0.992,0.957,3.095099018465479,Imitation Learning,⚠️ N=1k (high variance)
v16,10000,5194,51.94,18.6399,0.9779,1.0047,0.9792440623929128,Minimax Search,✅ N=10k
v7,10000,5161,51.61,17.355,0.9839,0.5588,0.9794738182476442,Heuristic (Strategic),✅ N=10k
v15,10000,5136,51.35999999999999,18.4558,0.9556,1.0205,0.9796194102558686,Minimax Search,✅ N=10k
v10,10000,5081,50.81,17.3978,0.9426,0.5545,0.9798533905948918,Heuristic (Tactical),✅ N=10k
v18,1000,502,50.2,17.995,0.944,0.942,3.0989503696223473,MCTS Search,⚠️ N=1k (high variance)
v8,10000,4992,49.919999999999995,17.4416,0.9387,0.586,0.9799807378922741,Heuristic (Strategic),✅ N=10k
v17,10000,4754,47.54,18.4199,0.8673,1.1016,0.9787951818197718,MCTS Search,✅ N=10k
v9,10000,4680,46.800000000000004,17.527,0.9375,0.6147,0.9779729297588663,Heuristic (Strategic),✅ N=10k
v21,10000,4661,46.61,17.8427,0.8563,1.055,0.977726987600425,Imitation Learning,✅ N=10k
v11,10000,4599,45.989999999999995,17.5536,0.9147,0.6114,0.9768252663477062,Heuristic (Tactical),✅ N=10k
v20,1000,444,44.4,18.053,0.823,1.174,3.079477050266546,Imitation Learning,⚠️ N=1k (high variance)
v14,10000,4331,43.309999999999995,18.1949,0.7897,1.2083,0.971170342247458,Heuristic (Prediction),✅ N=10k
simple_heuristic,10000,4280,42.8,17.5531,0.8779,0.6507,0.9697683139013428,Baseline,✅ N=10k
abyssal,10000,4230,42.3,17.7605,0.8445,0.6553,0.9682916377959875,Baseline,✅ N=10k
v13,10000,3420,34.2,18.7237,0.687,1.7979,0.9297669208859407,Heuristic (Advanced),✅ N=10k
v12,10000,3286,32.86,17.604,0.6136,0.7696,0.9206033247808374,Heuristic (Tera),✅ N=10k
