hp_diff,hazards_active,is_late_game,action
-35.954080049643196,0,0,0
22.058823529411768,0,0,0
15.256669582331071,0,0,1
-25.539568345323744,0,0,1
-68.34532374100719,0,0,0
41.91176470588235,0,0,1
43.34746672391584,0,0,0
15.463917525773198,0,0,0
56.013745704467354,0,0,0
0.0,0,0,1
-37.08657494347143,0,0,0
-71.00371747211896,0,0,0
28.45641906397596,0,0,1
-6.159420289855078,0,0,1
-28.985507246376812,0,1,0
-41.30434782608695,0,1,0
0.0,0,1,1
-47.46376811594203,0,1,1
6.185567010309285,0,1,0
-33.65829971612132,0,1,0
-78.6231884057971,0,1,0
-55.172413793103445,0,1,1
65.63573883161513,0,1,0
-94.92753623188406,0,1,0
55.16372795969773,0,0,0
0.0,0,0,0
23.42569269521411,0,0,0
0.0,0,0,0
27.058108225484236,0,0,0
10.077519379844958,0,0,0
-29.554655870445345,0,0,0
0.0,0,0,0
0.0,0,0,0
51.65876777251185,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
12.5,0,1,0
50.75187969924812,0,1,0
0.0,0,1,1
0.0,0,1,1
-20.841799709724242,0,0,0
0.0,0,0,1
-31.1787072243346,0,0,0
-43.34600760456274,0,0,0
-61.59695817490494,0,0,0
-85.93155893536121,0,0,0
-1.286093594424159,0,0,1
0.0,0,0,0
27.24358974358975,0,0,0
58.65384615384615,0,0,0
64.98091603053436,0,0,0
-30.53435114503816,0,0,0
0.0,0,0,1
48.59437751004017,0,0,0
-47.43589743589743,0,1,0
0.0,0,1,0
-70.855694692904,0,1,0
0.0,0,1,1
0.0,0,1,0
-28.31123048514354,0,1,0
-41.698841698841704,0,1,0
-46.026490066225165,0,0,1
0.0,0,0,0
-7.297297297297305,0,0,1
43.91891891891891,0,0,0
37.35849056603774,0,0,0
-38.940809968847354,0,0,1
-6.667214807100251,0,0,0
-6.353591160221001,0,0,1
-0.276243093922659,0,0,0
6.2952152611279075,0,0,0
-39.45945945945945,0,0,1
34.448160535117054,0,0,0
40.46822742474916,0,0,1
47.85793916228699,0,0,0
0.0,0,0,0
-24.657534246575338,0,1,1
0.0,0,1,0
-58.108108108108105,0,1,1
51.20967741935484,0,1,0
-24.9221183800623,0,1,1
-49.31506849315068,0,1,1
0.0,0,0,1
0.0,0,0,1
-60.661764705882355,0,0,0
0.014211408919081236,0,0,0
-15.172608144286315,0,0,1
45.07438809790435,0,0,0
-21.888412017167383,0,0,1
-31.75965665236052,0,0,0
-2.133360295232791,0,0,1
22.228400990849803,0,0,0
45.67546826592388,0,0,1
-47.63948497854077,0,0,0
-12.195121951219505,0,0,1
36.26373626373627,0,1,0
0.0,0,1,0
90.84249084249085,0,1,0
0.0,0,0,1
-22.48062015503875,0,0,1
-39.957811168609844,0,0,0
9.390651952532366,0,0,0
19.498306211941724,0,0,0
-70.54263565891472,0,0,0
0.0,0,0,1
0.0,0,0,0
-6.007067137809187,0,0,0
-12.014134275618375,0,0,0
0.0,0,0,1
54.007221008965914,0,0,0
-21.84300341296928,0,0,0
-62.52054101883453,0,0,0
0.0,0,1,1
-0.6483200574953543,0,1,0
-62.41091213990536,0,1,0
5.508474576271183,0,1,1
0.0,0,1,0
0.0,0,1,0
-26.694915254237287,0,1,0
-56.77966101694915,0,1,0
-55.93220338983051,0,1,0
52.11864406779661,0,1,1
0.0,0,0,1
29.779411764705884,0,0,0
0.0,0,0,1
32.01357466063349,0,0,1
-11.699779249448113,0,0,0
-10.576923076923066,0,0,0
0.0,0,0,1
48.01324503311258,0,0,0
0.0,0,0,0
-7.670165479569441,0,0,0
71.86311787072243,0,0,0
84.4106463878327,0,0,0
0.0,0,0,1
-57.73584905660377,0,0,0
-14.916142557651995,0,1,0
0.0,0,1,1
0.0,0,1,0
-1.6685520361990989,0,1,1
-65.06410256410257,0,1,0
31.102362204724415,0,1,0
0.0,0,1,0
-95.48872180451127,0,1,1
0.0,0,1,0
48.495734171531204,0,1,0
-67.93893129770993,0,1,0
0.0,0,1,1
18.789808917197448,0,1,0
81.84713375796179,0,1,0
-24.43438914027149,0,0,1
-18.552036199095028,0,0,0
0.0,0,0,1
3.6226253617558086,0,0,0
-21.157827679566815,0,0,1
-54.288103201146676,0,0,0
56.85743990580336,0,0,1
12.449799196787154,0,0,0
-93.63295880149812,0,0,0
0.0,0,0,1
53.22908106540339,0,0,0
-32.78145695364239,0,0,0
-36.160536184472996,0,0,0
0.0,0,0,1
25.151515151515156,0,1,0
-35.23232323232324,0,1,1
-21.54882154882155,0,1,0
75.78451178451178,0,1,0
-1.159870725088112,0,1,0
78.26086956521739,0,1,1
-27.24358974358975,0,0,0
17.62589928057554,0,0,0
-39.93055555555556,0,0,1
-12.5,0,0,0
0.0,0,0,1
-4.026845637583904,0,0,0
-22.81879194630872,0,0,0
1.7279700165606187,0,0,0
35.04096574566373,0,0,0
1.47084459164995,0,0,0
33.76623376623377,0,0,0
6.1688311688311614,0,0,0
6.1688311688311614,0,0,0
-12.326767192539002,0,0,0
-24.792992242656666,0,1,0
-15.94676604757251,0,1,0
0.0,0,1,1
34.89208633093526,0,1,0
-16.580443510360254,0,1,0
82.37410071942446,0,1,0
-59.91902834008097,0,1,0
-69.63562753036437,0,1,0
-52.5,0,1,1
-25.0,0,1,0
-5.585084718149233,0,1,0
-79.35222672064778,0,1,0
-41.53846153846153,0,1,1
-6.093189964157702,0,1,0
-68.45878136200717,0,1,0
78.47222222222223,0,1,0
0.0,0,0,0
0.0,0,0,0
0.0,0,0,1
32.0,0,0,0
-7.522388059701491,0,0,1
6.25,0,0,1
40.05681818181818,0,0,0
-14.795454545454547,0,0,0
1.818181818181813,0,0,1
71.63636363636364,0,0,0
68.28571428571429,0,0,0
4.136460554371002,0,0,1
-12.997867803837954,0,0,0
6.206896551724142,0,1,0
27.58620689655173,0,1,0
16.935363487087628,0,1,0
81.72413793103448,0,1,1
24.727272727272734,0,1,0
12.5,0,1,0
-61.452214452214456,0,1,0
0.0,0,1,0
63.44155844155844,0,1,0
87.54545454545455,0,1,0
48.727272727272734,0,1,0
39.02597402597402,0,1,0
65.8961038961039,0,1,0
89.35064935064935,0,1,0
49.45454545454545,0,1,0
0.0,0,1,0
-11.15026819724806,0,0,0
0.0,0,0,1
76.43421504637581,0,0,0
-21.83098591549296,0,0,0
16.088492369005024,0,0,0
0.0,0,0,1
-61.48148148148148,0,0,0
91.11969111969111,0,0,1
-17.725746566946754,0,0,0
0.0,0,0,1
14.488397790055245,0,0,0
-29.903536977491967,0,1,0
-12.739599690919519,0,1,0
-7.5911662803160596,0,1,0
-59.80707395498393,0,1,0
-69.7749196141479,0,1,0
12.167300380228141,0,0,0
-18.699186991869922,0,0,0
9.665580461472643,0,0,0
-5.099085941631216,0,0,1
-39.22519074358522,0,0,0
67.68060836501901,0,0,1
47.26027397260274,0,0,0
52.3972602739726,0,0,0
12.328767123287676,0,0,0
50.0,0,0,0
56.81406124093473,0,0,0
-24.264705882352942,0,0,0
-63.221288515406165,0,0,0
-16.482196482196485,0,0,1
56.507936507936506,0,1,0
-7.063492063492063,0,1,1
-6.0317460317460325,0,1,0
0.0,0,1,0
0.0,0,1,0
-38.21138211382114,0,1,1
18.937822981468678,0,1,0
-55.98455598455598,0,1,1
41.79418220037714,0,1,1
-17.47967479674797,0,1,0
-36.17886178861789,0,1,0
41.21490405187453,0,1,0
-38.617886178861795,0,1,0
74.82966327638985,0,1,0
-6.910569105691053,0,1,0
12.5,0,1,0
22.15447154471545,0,1,0
58.65384615384615,0,1,0
18.30831769856161,0,1,0
54.80769230769231,0,1,0
-41.5158371040724,0,1,1
-33.42760180995475,0,1,0
-25.3393665158371,0,1,0
-17.251131221719458,0,1,0
-59.16289592760181,0,1,0
-0.7541478129713468,0,1,0
7.334087481146298,0,1,0
15.422322775263954,0,1,0
-47.05882352941176,0,1,0
-14.500572956455315,0,1,0
-13.111153552330023,0,1,0
34.05748663101604,0,1,0
8.498854087089384,0,1,0
55.84415584415584,0,1,0
35.3896103896104,0,1,0
63.961038961038966,0,1,0
41.23376623376623,0,1,0
69.48051948051949,0,1,0
46.103896103896105,0,1,0
71.75324675324676,0,1,0
64.6103896103896,0,1,0
37.33766233766234,0,1,0
24.675324675324674,0,1,0
47.4025974025974,0,1,0
69.8051948051948,0,1,0
42.2077922077922,0,1,0
64.93506493506493,0,1,0
78.66214667685256,0,1,0
80.05156608097784,0,1,0
-10.909090909090907,0,0,0
0.0,0,0,0
0.0,0,0,1
-24.035608308605333,0,0,0
-7.835820895522389,0,0,1
3.1523417395779774,0,0,0
-3.37438423645321,0,0,0
-17.097272259392682,0,0,1
28.965517241379317,0,0,0
21.379310344827587,0,0,0
9.176531137416369,0,0,0
0.0,0,0,0
12.244897959183675,0,0,0
12.413793103448285,0,0,0
-11.10627280216547,0,1,0
-62.6865671641791,0,1,1
-15.290787442099845,0,1,0
6.172839506172849,0,1,0
16.049382716049394,0,1,1
46.51162790697675,0,1,0
80.62015503875969,0,1,0
0.0,0,1,1
-41.05050505050506,0,1,0
21.277869909710702,0,1,1
-34.0246913580247,0,1,1
29.0906578220011,0,1,1
-27.362514029180694,0,1,1
-25.323389373446254,0,1,1
81.48148148148148,0,1,1
91.35802469135803,0,1,1
0.0,0,0,1
25.63142226063574,0,0,0
-62.39316239316239,0,0,0
-50.31269543464664,0,0,0
2.011673962893475,0,0,0
-67.94871794871796,0,0,0
0.0,0,0,1
-1.937984496124031,0,0,0
49.7093023255814,0,0,0
-61.965811965811966,0,0,1
-55.98290598290598,0,0,0
-70.45454545454545,0,1,0
-64.39393939393939,0,1,0
14.56500488758553,0,1,0
0.0,0,1,0
0.0,0,0,0
-33.07692307692308,0,0,1
-26.923076923076934,0,0,0
43.17128967686588,0,0,0
-97.6923076923077,0,0,1
-21.495327102803742,0,0,0
43.55400696864111,0,0,0
12.230215827338128,0,0,0
-7.5035298863712825,0,0,0
16.0066339451803,0,0,0
0.0,0,0,1
-19.254807692307693,0,0,1
-15.0,0,0,0
56.15384615384615,0,0,1
44.240465416936004,0,0,0
-47.22222222222222,0,1,1
0.0,0,1,1
-12.184873949579838,0,1,0
4.540626659585767,0,1,0
-18.230563002680967,0,1,0
-33.243967828418235,0,1,0
-56.30026809651474,0,1,0
-45.39033457249071,0,0,0
34.339622641509436,0,0,0
-38.91050583657587,0,0,1
7.102272727272734,0,0,0
15.740740740740748,0,0,0
-65.74246179264767,0,0,1
43.39622641509434,0,0,0
35.275157232704395,0,0,1
9.748931623931625,0,0,0
6.089743589743591,0,0,1
