matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9862,98.61999999999999,21.1908,4.2765,0.0173,0.2286494353978729,Baseline,✅ N=10k
max_power,10000,9027,90.27,17.2125,2.7774,0.0946,0.5808663689481164,Baseline,✅ N=10k
v22,10000,8079,80.78999999999999,18.7008,2.3503,0.3467,0.7721302681905239,Pure Imitation,✅ N=10k
safe_one_step,10000,7648,76.48,16.9895,1.9906,0.2335,0.831267285815415,Baseline,✅ N=10k
one_step,10000,7645,76.44999999999999,16.9524,1.9908,0.2332,0.8316341056697142,Baseline,✅ N=10k
v1,10000,7635,76.35,17.1623,1.983,0.2356,0.8328526736286507,Heuristic (Basic),✅ N=10k
v2,10000,7633,76.33,17.0402,1.9844,0.2398,0.8330956200051347,Heuristic (Basic),✅ N=10k
v6,10000,7609,76.09,17.1299,1.9912,0.2399,0.8359911330779047,Heuristic (Basic),✅ N=10k
v4,10000,7581,75.81,17.2117,1.9627,0.2439,0.8393232884551171,Heuristic (Basic),✅ N=10k
v3,10000,7553,75.53,17.1361,1.9756,0.2475,0.842606525269675,Heuristic (Basic),✅ N=10k
v5,10000,7487,74.87,17.1544,1.939,0.2498,0.8501552711406268,Heuristic (Basic),✅ N=10k
v7,10000,6848,68.47999999999999,17.5172,1.7,0.3689,0.9105904081032555,Heuristic (Strategic),✅ N=10k
v10,10000,6744,67.44,17.5648,1.652,0.3762,0.9184363626386663,Heuristic (Tactical),✅ N=10k
v8,10000,6730,67.30000000000001,17.6086,1.6521,0.386,0.9194529265432662,Heuristic (Strategic),✅ N=10k
v18,1000,661,66.10000000000001,18.159,1.611,0.668,2.9339227172546978,MCTS Search,⚠️ N=1k (high variance)
v19,1000,645,64.5,18.536,1.538,0.704,2.965801803001066,Imitation Learning,⚠️ N=1k (high variance)
v15,10000,6396,63.959999999999994,18.3966,1.5273,0.7708,0.941011020680647,Minimax Search,✅ N=10k
v16,10000,6330,63.3,18.7828,1.4908,0.7944,0.9446762091289653,Minimax Search,✅ N=10k
v11,10000,6165,61.650000000000006,17.6538,1.6075,0.4371,0.9530096881429725,Heuristic (Tactical),✅ N=10k
v9,10000,6152,61.519999999999996,17.6292,1.6211,0.4462,0.9536165641943027,Heuristic (Strategic),✅ N=10k
v17,10000,6037,60.370000000000005,18.6643,1.364,0.8441,0.9586734834488858,MCTS Search,✅ N=10k
abyssal,10000,5991,59.91,17.7867,1.5908,0.464,0.9605407164574911,Baseline,✅ N=10k
simple_heuristic,10000,5975,59.75,17.796,1.6129,0.4632,0.9611695153610043,Baseline,✅ N=10k
v21,10000,5912,59.12,17.9225,1.3132,0.8254,0.9635422159510902,Imitation Learning,✅ N=10k
v20,1000,585,58.5,17.838,1.308,0.893,3.0538666722599666,Imitation Learning,⚠️ N=1k (high variance)
v14,10000,5601,56.010000000000005,18.2783,1.225,0.968,0.9728768254504759,Heuristic (Prediction),✅ N=10k
v13,10000,5065,50.64999999999999,18.9557,1.3216,1.3675,0.9798991802927263,Heuristic (Advanced),✅ N=10k
v12,10000,5011,50.11,18.0838,1.2564,0.5729,0.9799796207107361,Heuristic (Tera),✅ N=10k
