battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randomdoublesbattle-95886,V1_B_6b50,18,0,ampharos|articuno|bombirdier|dragapult|lunala|magearnaoriginal,alomomola|archaludon|lumineon|mightyena|mimikyu|scovillain,6,3,
battle-gen9randomdoublesbattle-95887,V1_B_6b50,13,0,dragalge|dusknoir|hippowdon|hitmonchan|malamar|mismagius,dewgong|frosmoth|mesprit|rotom|skuntank|tsareena,6,5,
battle-gen9randomdoublesbattle-95888,V1_B_6b50,13,0,basculin|gardevoir|morpeko|pincurchin|rayquaza|virizion,chesnaught|electabuzz|gallade|primarina|spidops|swampert,6,4,
battle-gen9randomdoublesbattle-95889,V1_B_6b50,14,0,gengar|ironthorns|lanturn|lapras|scyther|sylveon,alomomola|deoxysspeed|ironcrown|rotomwash|salazzle|toucannon,6,2,
battle-gen9randomdoublesbattle-95890,V1_B_6b50,15,0,bellibolt|carbink|houndoom|leavanny|sandaconda|vigoroth,bronzong|falinks|grumpig|mudsdale|torterra|wochien,6,3,
battle-gen9randomdoublesbattle-95891,V1_A_6b50,15,1,copperajah|decidueye|gyarados|kyogre|meganium|munkidori,annihilape|armarouge|cramorant|enamorustherian|houndstone|tyranitar,3,6,
battle-gen9randomdoublesbattle-95892,V1_B_6b50,17,0,copperajah|jirachi|okidogi|regidrago|tauros|trevenant,amoonguss|cresselia|honchkrow|necrozmadawnwings|passimian|sableye,6,5,
battle-gen9randomdoublesbattle-95893,V1_A_6b50,13,1,donphan|dragapult|forretress|hariyama|malamar|mudsdale,baxcalibur|golemalola|inteleon|persian|tatsugiri|uxie,4,6,
battle-gen9randomdoublesbattle-95894,V1_B_6b50,15,0,azelf|kilowattrel|leafeon|oinkologne|regieleki|suicune,azelf|cacturne|cloyster|gogoat|hippowdon|sylveon,6,5,
battle-gen9randomdoublesbattle-95895,V1_B_6b50,23,0,ironvaliant|klefki|meganium|noctowl|samurott|vivillonmarine,dipplin|gardevoir|keldeoresolute|krookodile|scyther|sudowoodo,6,5,
battle-gen9randomdoublesbattle-95896,V1_A_6b50,20,1,camerupt|granbull|hippowdon|sinistcha|volcanion|zebstrika,archaludon|gogoat|houndoom|luvdisc|sylveon|uxie,2,6,
battle-gen9randomdoublesbattle-95897,V1_A_6b50,15,1,cresselia|duraludon|hippowdon|kleavor|kyogre|sneasler,bruxish|lurantis|mightyena|rayquaza|scovillain|skeledirge,4,6,
battle-gen9randomdoublesbattle-95898,V1_B_6b50,17,0,chimecho|kricketune|lanturn|regieleki|suicune|zamazentacrowned,chiyu|dialgaorigin|hoopa|jumpluff|vivillonmonsoon|zoroark,6,4,
battle-gen9randomdoublesbattle-95899,V1_A_6b50,18,1,abomasnow|cyclizar|glastrier|granbull|ludicolo|regieleki,araquanid|gholdengo|necrozmaduskmane|porygonz|suicune|weezing,4,6,
battle-gen9randomdoublesbattle-95900,V1_B_6b50,18,0,articunogalar|granbull|persianalola|regieleki|reuniclus|sawsbuckwinter,eelektross|glaceon|meloetta|pawmot|salazzle|terapagos,6,4,
battle-gen9randomdoublesbattle-95901,V1_B_6b50,27,0,donphan|gholdengo|jirachi|meowstic|noctowl|regigigas,camerupt|kommoo|latias|polteageistantique|qwilfishhisui|tornadustherian,6,4,
battle-gen9randomdoublesbattle-95902,V1_B_6b50,24,0,banette|dudunsparcethreesegment|groudon|regice|tentacruel|vigoroth,ambipom|camerupt|dipplin|garganacl|volcanion|zangoose,6,4,
battle-gen9randomdoublesbattle-95903,V1_B_6b50,19,0,floatzel|golem|hydrapple|orthworm|perrserker|rotommow,froslass|grafaiai|hydrapple|ogerponhearthflame|roaringmoon|volcarona,6,5,
battle-gen9randomdoublesbattle-95904,V1_B_6b50,17,0,beartic|leafeon|meowscarada|pyroar|slowbrogalar|spectrier,granbull|latios|polteageist|vileplume|volcarona|zangoose,6,3,
battle-gen9randomdoublesbattle-95905,V1_A_6b50,17,1,basculin|blissey|charizard|hypno|seviper|wyrdeer,dachsbun|espeon|kilowattrel|landorus|rotomwash|sawsbuckautumn,4,6,
battle-gen9randomdoublesbattle-95906,V1_A_6b50,28,1,alomomola|baxcalibur|chimecho|feraligatr|florgesyellow|rhydon,araquanid|brutebonnet|electivire|glastrier|rotomfan|tsareena,2,6,
battle-gen9randomdoublesbattle-95907,V1_B_6b50,23,0,gallade|garganacl|leafeon|ragingbolt|tentacruel|zarudedada,ditto|espathra|luvdisc|milotic|rampardos|talonflame,6,5,
battle-gen9randomdoublesbattle-95908,V1_A_6b50,12,1,archaludon|entei|frosmoth|murkrow|revavroom|walkingwake,articuno|minun|palossand|scizor|stonjourner|virizion,4,6,
battle-gen9randomdoublesbattle-95909,V1_A_6b50,11,1,alomomola|flamigo|floatzel|regice|salazzle|venomoth,hariyama|lilligant|mienshao|plusle|primarina|spectrier,2,6,
battle-gen9randomdoublesbattle-95910,V1_B_6b50,17,0,bruxish|dialgaorigin|eiscuenoice|keldeoresolute|tropius|venomoth,corviknight|gastrodon|hippowdon|masquerain|mukalola|roaringmoon,6,3,
