battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randomdoublesbattle-90723,V1_B_a87e,18,0,drednaw|hitmonchan|houndoom|irontreads|keldeoresolute|noctowl,chienpao|cresselia|dugtrio|enamorus|sandyshocks|volbeat,6,4,
battle-gen9randomdoublesbattle-90724,V1_B_a87e,25,0,amoonguss|arceuselectric|greedent|moltres|regidrago|rillaboom,dondozo|farigiraf|irontreads|oinkologne|pachirisu|veluza,6,5,
battle-gen9randomdoublesbattle-90725,V1_B_a87e,13,0,breloom|klefki|noivern|oinkolognef|suicune|zekrom,delibird|infernape|leafeon|regieleki|stonjourner|veluza,6,5,
battle-gen9randomdoublesbattle-90726,V1_B_a87e,19,0,chienpao|dugtrioalola|mightyena|spidops|volcarona|weezinggalar,breloom|golemalola|mudsdale|rabsca|terapagos|wigglytuff,6,4,
battle-gen9randomdoublesbattle-90727,V1_B_a87e,18,0,cloyster|furret|granbull|ironleaves|kommoo|rhydon,alcremiemintcream|cryogonal|dipplin|entei|orthworm|porygonz,6,5,
battle-gen9randomdoublesbattle-90728,V1_B_a87e,23,0,comfey|medicham|mewtwo|murkrow|scizor|skeledirge,dewgong|excadrill|lycanrocmidnight|meganium|vivillonocean|volcanion,6,5,
battle-gen9randomdoublesbattle-90729,V1_B_a87e,33,0,brambleghast|magcargo|metagross|registeel|terapagosterastal|tornadustherian,alomomola|gothitelle|meowsticf|regidrago|salamence|sandaconda,6,5,
battle-gen9randomdoublesbattle-90730,V1_B_a87e,15,0,bellibolt|grafaiai|lilliganthisui|regirock|staraptor|vaporeon,greninja|houndstone|meloetta|rayquaza|serperior|vespiquen,6,3,
battle-gen9randomdoublesbattle-90731,V1_B_a87e,15,0,arboliva|chandelure|donphan|mienshao|porygonz|regidrago,golem|munkidori|spiritomb|toxtricitylowkey|trevenant|vikavolt,6,3,
battle-gen9randomdoublesbattle-90732,V1_A_a87e,16,1,alcremierainbowswirl|alomomola|dipplin|garganacl|mew|regidrago,avalugg|banette|haxorus|hoopaunbound|qwilfish|torkoal,2,6,
battle-gen9randomdoublesbattle-90733,V1_A_a87e,29,1,cetitan|indeedee|ironvaliant|munkidori|oricoriosensu|taurospaldeacombat,clodsire|copperajah|keldeoresolute|lokix|solgaleo|zamazenta,5,6,
battle-gen9randomdoublesbattle-90734,V1_B_a87e,10,0,carbink|illumise|lokix|noctowl|sandyshocks|snorlax,chimecho|clefable|flareon|ironmoth|sandyshocks,6,0,
battle-gen9randomdoublesbattle-90735,V1_B_a87e,25,0,hariyama|hitmontop|ironboulder|manaphy|oricoriopompom|probopass,ampharos|mudsdale|palafin|salamence|scrafty|skeledirge,6,5,
battle-gen9randomdoublesbattle-90736,V1_B_a87e,15,0,abomasnow|azumarill|ditto|espathra|phione|plusle,cramorant|haxorus|lokix|palossand|slaking|talonflame,6,3,
battle-gen9randomdoublesbattle-90737,V1_B_a87e,16,0,clawitzer|moltres|mukalola|palafinhero|porygonz|rampardos,arceusflying|golemalola|ironjugulis|minun|pecharunt|weavile,6,5,
battle-gen9randomdoublesbattle-90738,V1_B_a87e,18,0,bronzong|copperajah|fluttermane|furret|ogerpon|polteageist,bellibolt|greedent|jumpluff|mightyena|miraidon|tinkaton,6,5,
battle-gen9randomdoublesbattle-90739,V1_A_a87e,20,1,flamigo|froslass|golurk|mesprit|taurospaldeaaqua|yanmega,clodsire|medicham|palafin|primarina|probopass|zacian,5,6,
battle-gen9randomdoublesbattle-90740,V1_A_a87e,18,1,araquanid|camerupt|clodsire|conkeldurr|talonflame|wigglytuff,hariyama|ironboulder|leavanny|lokix|overqwil|salamence,2,6,
battle-gen9randomdoublesbattle-90741,V1_A_a87e,11,1,ambipom|amoonguss|duraludon|quagsire|sandyshocks|sunflora,ceruledge|eternatus|feraligatr|greattusk|persian|slowbro,4,6,
battle-gen9randomdoublesbattle-90742,V1_A_a87e,11,1,breloom|camerupt|galvantula|koraidon|minun|sudowoodo,hawlucha|ironboulder|kingambit|meowsticf|revavroom|swanna,4,6,
battle-gen9randomdoublesbattle-90743,V1_B_a87e,16,0,bruxish|dewgong|oinkologne|smeargle|sneasler|volbeat,basculin|dipplin|irontreads|mudsdale|orthworm|walkingwake,6,4,
battle-gen9randomdoublesbattle-90744,V1_B_a87e,18,0,corviknight|magcargo|mausholdfour|moltresgalar|typhlosionhisui|urshifurapidstrike,farigiraf|gumshoos|palkia|solgaleo|tornadustherian|volcanion,6,0,
battle-gen9randomdoublesbattle-90745,V1_B_a87e,12,0,brambleghast|cresselia|greninja|hitmonlee|orthworm|tauros,flareon|muk|suicune|swanna|zapdos,6,1,
battle-gen9randomdoublesbattle-90746,V1_B_a87e,11,0,espathra|greattusk|kricketune|moltresgalar|sylveon|urshifurapidstrike,barraskewda|glalie|indeedeef|jolteon|lapras|salazzle,6,4,
battle-gen9randomdoublesbattle-90747,V1_A_a87e,13,1,exeggutoralola|hitmonlee|ironmoth|lanturn|ninetales|venusaur,kyurem|lanturn|leafeon|medicham|scizor|staraptor,2,6,
battle-gen9randomdoublesbattle-90748,V1_A_a87e,13,1,bellibolt|blaziken|cresselia|luxray|masquerain|politoed,crawdaunt|espeon|illumise|murkrow|ursalunabloodmoon|wugtrio,5,6,
battle-gen9randomdoublesbattle-90749,V1_B_a87e,16,0,breloom|chandelure|clefable|perrserker|sandyshocks|veluza,electivire|eternatus|gholdengo|malamar|veluza|vespiquen,6,3,
battle-gen9randomdoublesbattle-90750,V1_B_a87e,22,0,cacturne|jirachi|lumineon|tornadus|toxicroak|vaporeon,dusknoir|klawf|lokix|suicune|toxapex|trevenant,6,1,
battle-gen9randomdoublesbattle-90751,V1_B_a87e,14,0,arceus|coalossal|farigiraf|gengar|lugia|poliwrath,forretress|gliscor|scrafty|slowkinggalar|tinglu|zebstrika,6,1,
battle-gen9randomdoublesbattle-90752,V1_B_a87e,18,0,arceus|dondozo|flamigo|incineroar|serperior|slowkinggalar,mamoswine|ogerpon|okidogi|politoed|staraptor|zapdosgalar,6,5,
battle-gen9randomdoublesbattle-90753,V1_B_a87e,13,0,dodrio|floatzel|rabsca|shiftry|zacian|zekrom,avalugghisui|electabuzz|ogerponcornerstone|spiritomb|venomoth|walkingwake,6,1,
battle-gen9randomdoublesbattle-90754,V1_A_a87e,13,1,archaludon|chesnaught|espeon|rabsca|salazzle|toxicroak,copperajah|flareon|hoopa|raikou|samurott|slowbro,4,6,
battle-gen9randomdoublesbattle-90755,V1_B_a87e,15,0,alcremiesaltedcream|chandelure|kyogre|malamar|rotomfan|spectrier,crawdaunt|duraludon|honchkrow|minun|polteageist|volcarona,6,5,
battle-gen9randomdoublesbattle-90756,V1_B_a87e,10,0,drifblim|heracross|miraidon|regieleki|salamence|zaciancrowned,bellossom|ceruledge|mamoswine|mienshao|tyranitar,6,4,
battle-gen9randomdoublesbattle-90757,V1_A_a87e,14,1,alomomola|ditto|glalie|haxorus|landorus|tinglu,camerupt|carbink|dachsbun|glaceon|golemalola|victreebel,3,6,
battle-gen9randomdoublesbattle-90758,V1_A_a87e,23,1,araquanid|archaludon|electivire|ironleaves|lycanroc|trevenant,gastrodon|hypno|ironvaliant|lunala|poliwrath|wochien,4,6,
battle-gen9randomdoublesbattle-90759,V1_B_a87e,11,0,arcanine|conkeldurr|hydrapple|squawkabillyyellow|wigglytuff|yanmega,banette|dodrio|froslass|furret|virizion,6,2,
battle-gen9randomdoublesbattle-90760,V1_A_a87e,16,1,excadrill|lanturn|magmortar|manaphy|necrozmadawnwings|taurospaldeacombat,arcaninehisui|donphan|duraludon|houndstone|manaphy|tyranitar,3,6,
battle-gen9randomdoublesbattle-90761,V1_A_a87e,26,1,arbok|furret|morpeko|noctowl|polteageistantique|tinglu,archaludon|gardevoir|skuntank|sylveon|taurospaldeaaqua|veluza,3,6,
battle-gen9randomdoublesbattle-90762,V1_B_a87e,13,0,carbink|dragapult|inteleon|overqwil|regieleki|ursaluna,dragonite|magnezone|ninetalesalola|sableye|suicune|terrakion,6,4,
battle-gen9randomdoublesbattle-90763,V1_A_a87e,23,1,cresselia|glaceon|ironleaves|noivern|pachirisu|tinglu,brambleghast|glimmora|hippowdon|hitmontop|leafeon|mewtwo,5,6,
battle-gen9randomdoublesbattle-90764,V1_B_a87e,24,0,flamigo|furret|kricketune|magmar|mesprit|toucannon,alomomola|bombirdier|dudunsparce|eiscue|noivern|tsareena,6,2,
battle-gen9randomdoublesbattle-90765,V1_A_a87e,15,1,cinccino|hippowdon|hitmonlee|irontreads|kleavor|uxie,eiscue|grafaiai|granbull|lanturn|okidogi|toucannon,4,6,
battle-gen9randomdoublesbattle-90766,V1_A_a87e,8,1,deoxysdefense|furret|gallade|kyogre|magearnaoriginal|weavile,arceusghost|ditto|entei|granbull|ironmoth|qwilfish,2,6,
battle-gen9randomdoublesbattle-90767,V1_B_a87e,15,0,araquanid|dragapult|gallade|gardevoir|tatsugiri|victreebel,azelf|cacturne|hippowdon|munkidori|pawmot|tsareena,6,3,
battle-gen9randomdoublesbattle-90768,V1_B_a87e,13,0,cetitan|dipplin|ironjugulis|mewtwo|pyroar|quaquaval,abomasnow|articuno|dondozo|salazzle|taurospaldeablaze,6,1,
battle-gen9randomdoublesbattle-90769,V1_A_a87e,22,1,chimecho|drednaw|hooh|hydrapple|lurantis|ursaluna,empoleon|glalie|grimmsnarl|registeel|ribombee|skuntank,2,6,
battle-gen9randomdoublesbattle-90770,V1_A_a87e,21,1,arbok|coalossal|ludicolo|ninetalesalola|snorlax|tornadus,eternatus|garganacl|krookodile|muk|spidops|tatsugiri,4,6,
battle-gen9randomdoublesbattle-90771,V1_B_a87e,22,0,garganacl|groudon|ironleaves|mudsdale|ribombee|sandslashalola,arcaninehisui|electrodehisui|reuniclus|rillaboom|vaporeon|zamazenta,6,1,
battle-gen9randomdoublesbattle-90772,V1_A_a87e,17,1,arboliva|copperajah|magearna|quagsire|quaquaval|smeargle,electrode|farigiraf|glalie|gogoat|noivern|toxtricitylowkey,3,6,
battle-gen9randomdoublesbattle-90773,V1_A_a87e,26,1,cobalion|dipplin|houndoom|persianalola|slitherwing|tentacruel,annihilape|clodsire|dewgong|granbull|groudon|magmortar,5,6,
battle-gen9randomdoublesbattle-90774,V1_B_a87e,21,0,gothitelle|magearna|okidogi|skarmory|slaking|uxie,espathra|florgesyellow|noivern|phione|qwilfishhisui|weavile,6,5,
battle-gen9randomdoublesbattle-90775,V1_A_a87e,15,1,basculegion|chiyu|palossand|qwilfishhisui|registeel|vikavolt,banette|electabuzz|greedent|grimmsnarl|magmortar|salazzle,4,6,
battle-gen9randomdoublesbattle-90776,V1_B_a87e,18,0,abomasnow|cloyster|granbull|kyogre|umbreon|venomoth,copperajah|dachsbun|eternatus|regice|reuniclus|victreebel,6,3,
battle-gen9randomdoublesbattle-90777,V1_B_a87e,15,0,ariados|corviknight|dialgaorigin|gyarados|hypno|sawsbuckwinter,archaludon|chimecho|entei|kingdra|palossand|slaking,6,1,
