battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randombattle-70730,Expert_B_ac6f,19,0,dugtrio|dunsparce|koraidon|luvdisc|magmortar|volcarona,archaludon|gastrodoneast|ironleaves|volcanion,6,3,earthquake|fierydance|fireblast|flareblitz|focusblast|suckerpunch|surf
battle-gen9randombattle-70731,Expert_B_ac6f,33,0,donphan|ironleaves|magnezone|oricorio|staraptor|toxapex,exeggutor|houndoom|ironmoth|magearnaoriginal|mew|smeargle,6,5,flashcannon|hurricane|icespinner|leafblade|liquidation|quickattack
battle-gen9randombattle-70732,Expert_B_ac6f,18,0,dragalge|espathra|greattusk|grimmsnarl|landorustherian|necrozmadawnwings,amoonguss|arceusflying|gardevoir|meowscarada|pikachu|typhlosionhisui,6,5,brickbreak|closecombat|dracometeor|photongeyser|shadowball|sludgewave|spiritbreak|uturn
battle-gen9randombattle-70733,Expert_B_ac6f,20,0,golurk|grimmsnarl|hitmonlee|hypno|kingdra|leafeon,crawdaunt|poliwrath|scyther|tinkaton,6,3,doubleedge|ironhead|knockoff|machpunch|poltergeist|psychicnoise|stoneedge|suckerpunch
battle-gen9randombattle-70734,Expert_A_ac6f,19,1,conkeldurr|copperajah|floatzel|hariyama|magnezone|talonflame,chienpao|diancie|jolteon|piloswine|reshiram|zamazenta,3,6,bodypress|closecombat|machpunch|stoneedge
battle-gen9randombattle-70735,Expert_A_ac6f,17,1,breloom|glastrier|honchkrow|meowscarada|mesprit|pikachuworld,latios|leafeon|milotic|revavroom|sableye|tyranitar,3,6,closecombat|iciclecrash|knockoff|machpunch|rocktomb|suckerpunch|uturn
battle-gen9randombattle-70736,Expert_B_ac6f,32,0,blissey|girafarig|meganium|spectrier|toxtricity|urshifurapidstrike,bellibolt|bombirdier|chansey|slowking|venomoth,6,2,darkpulse|healbell|icespinner|knockoff|overdrive|shadowball|thunderbolt
battle-gen9randombattle-70737,Expert_A_ac6f,26,1,delphox|deoxysdefense|dunsparce|dusknoir|jumpluff|regieleki,dedenne|gardevoir|hitmonlee|lunala|luxray|vivillonsavanna,5,6,acrobatics|earthquake|explosion|fireblast|psychicnoise|shadowsneak
battle-gen9randombattle-70738,Expert_B_ac6f,20,0,corviknight|drifblim|falinks|orthworm|pikachupartner|tsareena,delibird|heatran|honchkrow|toxicroak,6,3,airslash|bravebird|ironhead|irontail|powerwhip|shadowball|volttackle
battle-gen9randombattle-70739,Expert_A_ac6f,129,1,azelf|blissey|lugia|slaking|venomoth|vikavolt,grumpig|metagross|polteageistantique|registeel|reshiram|vileplume,5,6,aeroblast|bugbuzz|earthpower|earthquake|knockoff|psychic|seismictoss|sludgewave|softboiled|stealthrock|struggle|thunderwave
battle-gen9randombattle-70740,Expert_B_ac6f,20,0,gardevoir|jumpluff|magcargo|sandslash|taurospaldeaaqua|typhlosion,alcremierubyswirl|cetitan|chandelure|entei|spectrier,6,4,acrobatics|aquajet|earthpower|eruption|moonblast|rapidspin|stoneedge
battle-gen9randombattle-70741,Expert_B_ac6f,16,0,copperajah|mamoswine|ogerponhearthflame|regieleki|sceptile|slaking,crawdaunt|glaceon|hydrapple|pecharunt,6,3,gigadrain|gigaimpact|ivycudgel|knockoff|rapidspin|supercellslam|voltswitch
battle-gen9randombattle-70742,Expert_B_ac6f,17,0,arbok|entei|magearna|ribombee|trevenant|umbreon,ampharos|hitmontop|ironthorns|phione|uxie,6,4,foulplay|moonblast|poltergeist|sacredfire|suckerpunch|terablast
battle-gen9randombattle-70743,Expert_B_ac6f,18,0,crawdaunt|gougingfire|infernape|koraidon|polteageistantique|swalot,cramorant|flapple|komala|latias|leavanny|terrakion,6,5,aquajet|earthquake|flareblitz|knockoff|outrage|shadowball|sludgebomb
battle-gen9randombattle-70744,Expert_A_ac6f,14,1,appletun|basculinbluestriped|brambleghast|glalie|lucario|rotom,ceruledge|galvantula|mewtwo|miniorgreen|terrakion|urshifurapidstrike,3,6,appleacid|aquajet|dracometeor|poltergeist|thunderbolt
battle-gen9randombattle-70745,Expert_A_ac6f,24,1,chimecho|cloyster|dialga|ironleaves|masquerain|regirock,cetitan|hooh|mamoswine|slowking|swanna|sylveon,5,6,dazzlinggleam|dracometeor|hurricane|hydropump|megahorn|psyshock|rockblast|stoneedge
battle-gen9randombattle-70746,Expert_A_ac6f,19,1,glimmora|greedent|latios|regieleki|sandaconda|seviper,banette|furret|misdreavus|oricoriopompom|thundurus|umbreon,5,6,bodyslam|dracometeor|earthquake|explosion|gunkshot|knockoff|meteorbeam
battle-gen9randombattle-70747,Expert_A_ac6f,21,1,empoleon|hoopaunbound|kyogre|kyuremwhite|pawmot|tropius,bellibolt|drednaw|malamar|mewtwo|ogerponhearthflame|whimsicott,4,6,earthquake|icebeam|originpulse|psychic
battle-gen9randombattle-70748,Expert_B_ac6f,25,0,floatzel|kyogre|pachirisu|roaringmoon|terapagosterastal|zekrom,dusknoir|excadrill|groudon|mandibuzz|pawmot|whimsicott,6,4,darkpulse|icebeam|outrage|terastarstorm|thunderbolt|uturn|wavecrash
