matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9843,98.42999999999999,21.976,4.1643,0.0201,0.24364733181421266,Baseline,✅ N=10k
max_power,10000,8794,87.94,17.6158,2.5956,0.117,0.6382854954973995,Baseline,✅ N=10k
v22,10000,7565,75.64999999999999,19.1353,2.0611,0.4633,0.8412053768716167,Pure Imitation,✅ N=10k
one_step,10000,6549,65.49000000000001,17.1207,1.504,0.3428,0.9317685891975582,Baseline,✅ N=10k
safe_one_step,10000,6548,65.48,17.0416,1.4956,0.3442,0.9318324279584206,Baseline,✅ N=10k
v1,10000,6511,65.11,17.2973,1.5072,0.3438,0.9341624870074325,Heuristic (Basic),✅ N=10k
v6,10000,6470,64.7,17.205,1.499,0.3576,0.9366720992520019,Heuristic (Basic),✅ N=10k
v2,10000,6469,64.69,17.3021,1.4975,0.3535,0.9367323641210931,Heuristic (Basic),✅ N=10k
v5,10000,6449,64.49000000000001,17.208,1.4721,0.3594,0.9379282474473456,Heuristic (Basic),✅ N=10k
v3,10000,6427,64.27000000000001,17.2786,1.467,0.3564,0.9392230646575279,Heuristic (Basic),✅ N=10k
v4,10000,6369,63.690000000000005,17.323,1.4416,0.3637,0.9425335973454857,Heuristic (Basic),✅ N=10k
v18,1000,564,56.39999999999999,18.146,1.281,0.941,3.0734835119843544,MCTS Search,⚠️ N=1k (high variance)
v19,1000,560,56.00000000000001,18.637,1.298,0.899,3.0765816313223877,Imitation Learning,⚠️ N=1k (high variance)
v16,10000,5599,55.989999999999995,18.7842,1.2283,0.9786,0.9729242069710738,Minimax Search,✅ N=10k
v15,10000,5539,55.38999999999999,18.5152,1.2188,1.0032,0.9742712459028351,Minimax Search,✅ N=10k
v7,10000,5511,55.11000000000001,17.5418,1.201,0.5215,0.9748506806102903,Heuristic (Strategic),✅ N=10k
v10,10000,5379,53.790000000000006,17.4826,1.1496,0.5332,0.97716262480147,Heuristic (Tactical),✅ N=10k
v8,10000,5358,53.580000000000005,17.4654,1.138,0.5399,0.9774667963110445,Heuristic (Strategic),✅ N=10k
v17,10000,5084,50.839999999999996,18.5241,1.0559,1.1184,0.9798436874518013,MCTS Search,✅ N=10k
v9,10000,5032,50.32,17.5128,1.1804,0.5879,0.9799619220333041,Heuristic (Strategic),✅ N=10k
v21,10000,4995,49.95,17.8712,1.0111,1.0929,0.9799815022789083,Imitation Learning,✅ N=10k
v11,10000,4940,49.4,17.4837,1.1415,0.5759,0.9799114310262874,Heuristic (Tactical),✅ N=10k
simple_heuristic,10000,4701,47.010000000000005,17.6554,1.1149,0.6097,0.9782281955521638,Baseline,✅ N=10k
v20,1000,469,46.9,18.117,0.981,1.184,3.093013196297171,Imitation Learning,⚠️ N=1k (high variance)
abyssal,10000,4664,46.64,17.5597,1.1009,0.6155,0.9777667676001881,Baseline,✅ N=10k
v14,10000,4574,45.739999999999995,18.2163,0.9447,1.2276,0.9764186496396351,Heuristic (Prediction),✅ N=10k
v13,10000,4187,41.870000000000005,18.7418,1.0316,1.6709,0.9669404600185977,Heuristic (Advanced),✅ N=10k
v12,10000,3769,37.69,17.6315,0.8348,0.717,0.9498172120853953,Heuristic (Tera),✅ N=10k
