matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9818,98.18,22.3295,4.424,0.0224,0.2619963849309115,Baseline,✅ N=10k
max_power,10000,9111,91.11,17.7766,3.3171,0.0869,0.557804475953187,Baseline,✅ N=10k
v22,10000,7831,78.31,20.1383,2.4756,0.4154,0.8077676922848054,Pure Imitation,✅ N=10k
v3,10000,7316,73.16,17.8951,2.1202,0.2731,0.8685127435635013,Heuristic (Basic),✅ N=10k
v2,10000,7314,73.14,17.9954,2.1068,0.2736,0.8687175057629473,Heuristic (Basic),✅ N=10k
v6,10000,7304,73.04,17.8979,2.116,0.2749,0.869737943579785,Heuristic (Basic),✅ N=10k
v1,10000,7298,72.98,18.1539,2.1459,0.2684,0.8703475134174642,Heuristic (Basic),✅ N=10k
v4,10000,7287,72.87,17.9273,2.1131,0.2766,0.8714598291764113,Heuristic (Basic),✅ N=10k
one_step,10000,7287,72.87,17.993,2.127,0.2749,0.8714598291764113,Baseline,✅ N=10k
safe_one_step,10000,7255,72.55,17.9305,2.123,0.276,0.8746573979430631,Baseline,✅ N=10k
v5,10000,7223,72.23,17.926,2.1021,0.283,0.8777985079779024,Heuristic (Basic),✅ N=10k
v18,1000,677,67.7,19.3,1.902,0.713,2.898302333746438,MCTS Search,⚠️ N=1k (high variance)
v15,10000,6759,67.58999999999999,19.5247,1.8753,0.7052,0.9173368289127012,Minimax Search,✅ N=10k
v19,1000,671,67.10000000000001,19.536,1.858,0.703,2.9121068108804224,Imitation Learning,⚠️ N=1k (high variance)
v16,10000,6681,66.81,19.9423,1.8047,0.7122,0.9229378418871429,Minimax Search,✅ N=10k
v7,10000,6649,66.49000000000001,18.8029,1.8387,0.4039,0.9251528081925864,Heuristic (Strategic),✅ N=10k
v10,10000,6606,66.06,18.859,1.8024,0.4022,0.9280541020571015,Heuristic (Tactical),✅ N=10k
v8,10000,6542,65.42,18.8194,1.7644,0.4147,0.9322145033522284,Heuristic (Strategic),✅ N=10k
v17,10000,6412,64.12,20.0078,1.7146,0.7788,0.9400935328058966,MCTS Search,✅ N=10k
v21,10000,6246,62.46000000000001,19.5808,1.6018,0.7922,0.9490655627241165,Imitation Learning,✅ N=10k
v20,1000,614,61.4,20.0,1.629,0.854,3.0173516638598663,Imitation Learning,⚠️ N=1k (high variance)
v9,10000,5787,57.87,18.7389,1.6835,0.5123,0.9677664491448267,Heuristic (Strategic),✅ N=10k
v14,10000,5771,57.709999999999994,20.2813,1.4766,0.5976,0.9682610696218295,Heuristic (Prediction),✅ N=10k
v11,10000,5673,56.730000000000004,19.0418,1.6519,0.5104,0.9710641709750957,Heuristic (Tactical),✅ N=10k
simple_heuristic,10000,5610,56.10000000000001,19.1249,1.662,0.5188,0.9726616250792094,Baseline,✅ N=10k
abyssal,10000,5534,55.34,19.1292,1.6189,0.5284,0.9743770085848664,Baseline,✅ N=10k
v13,10000,4933,49.33,22.2792,1.4322,0.9584,0.9798940055368592,Heuristic (Advanced),✅ N=10k
v12,10000,4885,48.85,19.1003,1.3383,0.6193,0.9797227527441091,Heuristic (Tera),✅ N=10k
