matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9853,98.53,21.8809,4.1358,0.0189,0.23587993519509032,Baseline,✅ N=10k
max_power,10000,8760,87.6,17.5184,2.5858,0.1195,0.6459679736171744,Baseline,✅ N=10k
v22,10000,7618,76.18,19.0605,2.0645,0.4586,0.8349095981672864,Pure Imitation,✅ N=10k
v3,10000,6571,65.71000000000001,17.1762,1.5171,0.3451,0.9303525818100811,Heuristic (Basic),✅ N=10k
one_step,10000,6566,65.66,17.0341,1.5088,0.3383,0.9306763450828166,Baseline,✅ N=10k
v1,10000,6522,65.22,17.2258,1.4883,0.3414,0.9334762590583455,Heuristic (Basic),✅ N=10k
v4,10000,6516,65.16,17.2935,1.4811,0.3498,0.9338512447597848,Heuristic (Basic),✅ N=10k
v2,10000,6482,64.82,17.1894,1.4855,0.3537,0.9359454167549032,Heuristic (Basic),✅ N=10k
v6,10000,6462,64.62,17.2363,1.4796,0.3544,0.937152961953455,Heuristic (Basic),✅ N=10k
v5,10000,6444,64.44,17.3488,1.464,0.3599,0.9382244211157917,Heuristic (Basic),✅ N=10k
safe_one_step,10000,6435,64.35,17.0938,1.4783,0.3542,0.9387547202401129,Baseline,✅ N=10k
v15,10000,5724,57.24,18.5458,1.2591,0.9686,0.9696539073223857,Minimax Search,✅ N=10k
v18,1000,562,56.2,18.112,1.249,0.935,3.075057946554476,MCTS Search,⚠️ N=1k (high variance)
v19,1000,562,56.2,18.202,1.243,0.973,3.075057946554476,Imitation Learning,⚠️ N=1k (high variance)
v16,10000,5604,56.04,18.6953,1.1947,0.9948,0.9728054526791201,Minimax Search,✅ N=10k
v7,10000,5551,55.510000000000005,17.4898,1.1816,0.5189,0.9740133457911735,Heuristic (Strategic),✅ N=10k
v8,10000,5432,54.32,17.485,1.1391,0.5354,0.9763173772211571,Heuristic (Strategic),✅ N=10k
v10,10000,5420,54.2,17.3999,1.1638,0.5252,0.976518495377239,Heuristic (Tactical),✅ N=10k
v17,10000,5109,51.09,18.489,1.082,1.1143,0.9797491012759566,MCTS Search,✅ N=10k
v20,1000,506,50.6,18.193,1.026,1.139,3.0987520272780564,Imitation Learning,⚠️ N=1k (high variance)
v9,10000,5048,50.480000000000004,17.5448,1.1581,0.5781,0.9799368336593448,Heuristic (Strategic),✅ N=10k
v11,10000,5019,50.19,17.4838,1.1631,0.5678,0.9799749167745002,Heuristic (Tactical),✅ N=10k
v21,10000,5012,50.12,17.9086,1.0144,1.0894,0.9799791699178252,Imitation Learning,✅ N=10k
abyssal,10000,4750,47.5,17.4878,1.1091,0.602,0.9787562482102465,Baseline,✅ N=10k
simple_heuristic,10000,4732,47.32,17.6139,1.1277,0.6042,0.9785732551986877,Baseline,✅ N=10k
v14,10000,4642,46.42,18.2342,0.9431,1.2233,0.9774667963110445,Heuristic (Prediction),✅ N=10k
v13,10000,4253,42.53,18.7783,1.0469,1.6549,0.9689834979104464,Heuristic (Advanced),✅ N=10k
v12,10000,3779,37.79,17.5907,0.8249,0.7128,0.9503129285011895,Heuristic (Tera),✅ N=10k
