battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randombattle-7583,v1,random,v1Ad73f2ab1p8001,1,20,cacturne|chimecho|conkeldurr|mudsdale|sneasler|tauros,avalugg|mesprit|pikachualola|pyroar|torterra|wigglytuff,3,3,2.903,6,0,0.0
battle-gen9randombattle-7584,v1,random,v1Ad73f2ab1p8001,1,25,golduck|kricketune|oricoriopau|rhydon|staraptor|tauros,forretress|ironleaves|mew|rhyperior|slaking|slitherwing,1,5,4.86,6,0,0.0
battle-gen9randombattle-7585,v1,random,v1Ad73f2ab1p8001,1,31,duraludon|galvantula|gyarados|meganium|scyther|vigoroth,flamigo|ironhands|magearnaoriginal|magnezone|misdreavus|wochien,3,3,2.752,6,0,0.0
battle-gen9randombattle-7586,v1,random,v1Ad73f2ab1p8001,1,9,cryogonal|hariyama|jumpluff|klefki|medicham|sudowoodo,baxcalibur|electrodehisui|probopass|suicune|vespiquen|vileplume,1,5,5.0,6,0,0.0
battle-gen9randombattle-7587,v1,random,v1Ad73f2ab1p8001,1,20,cetitan|cramorant|darkrai|granbull|groudon|persian,comfey|drednaw|gougingfire|mismagius|noctowl|ogerponwellspring,1,5,4.437,6,0,0.0
battle-gen9randombattle-7588,v1,random,v1Ad73f2ab1p8001,1,23,araquanid|corviknight|crabominable|mew|ragingbolt|vespiquen,cinccino|enamorus|gothitelle|heatran|pachirisu|zangoose,1,5,4.923,6,0,0.0
battle-gen9randombattle-7589,v1,random,v1Ad73f2ab1p8001,1,22,bellibolt|exeggutor|girafarig|oricoriosensu|rampardos|skarmory,blastoise|duraludon|kommoo|necrozma|palafin|tinglu,2,4,3.987,6,0,0.0
battle-gen9randombattle-7590,v1,random,v1Ad73f2ab1p8001,1,57,ampharos|banette|dipplin|dragalge|jolteon|masquerain,brutebonnet|chansey|forretress|golemalola|hypno|raichualola,4,2,1.075,6,0,0.0
battle-gen9randombattle-7591,v1,random,v1Ad73f2ab1p8001,1,18,appletun|infernape|krookodile|orthworm|regigigas|volcarona,garchomp|gholdengo|greninja|klefki|phione|spiritomb,3,3,2.015,6,0,0.0
battle-gen9randombattle-7592,v1,random,v1Ad73f2ab1p8001,1,25,annihilape|bastiodon|enamorustherian|grimmsnarl|plusle|vigoroth,alcremierubycream|golduck|lokix|seviper|slowking|typhlosion,3,3,2.661,6,0,0.0
battle-gen9randombattle-7593,v1,random,v1Ad73f2ab1p8001,1,35,kilowattrel|mausholdfour|seviper|shiftry|tatsugiri|venusaur,donphan|eiscuenoice|entei|muk|shaymin|swampert,3,3,2.777,6,0,0.0
battle-gen9randombattle-7594,v1,random,v1Ad73f2ab1p8001,1,12,cresselia|espeon|flareon|hawlucha|spectrier|vileplume,armarouge|kingdra|meowstic|noivern|serperior|volcanion,0,6,5.606,6,0,0.0
