battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-62415,v2,simple_heuristic,v2A4d7676aep8000,1,7,arbok|comfey|regidrago|ribombee|sawsbuckautumn|volbeat,azelf|falinks|morpeko|ogerponhearthflame|palossand|tinglu,3,3,2.309,6,0,0.0
battle-gen9randomdoublesbattle-62416,v2,simple_heuristic,v2A4d7676aep8000,1,9,garganacl|luxray|malamar|pikachu|screamtail|vileplume,ambipom|forretress|inteleon|ragingbolt|regigigas|sneasler,5,1,0.219,6,0,0.0
battle-gen9randomdoublesbattle-62417,v2,simple_heuristic,Opp4d7676aep8000,0,8,abomasnow|bellossom|grumpig|hippowdon|kingdra|lycanroc,donphan|glalie|qwilfish|rhydon|rillaboom|wigglytuff,6,0,0.0,4,2,0.83
battle-gen9randomdoublesbattle-62418,v2,simple_heuristic,v2A4d7676aep8000,1,8,archaludon|ironleaves|slitherwing|smeargle|vileplume|zoroarkhisui,arbok|latios|meloetta|passimian|regieleki|wochien,3,3,1.659,6,0,0.0
battle-gen9randomdoublesbattle-62419,v2,simple_heuristic,v2A4d7676aep8000,1,6,beartic|chienpao|dipplin|gengar|greattusk|magearna,brambleghast|excadrill|greattusk|perrserker|regidrago|stonjourner,2,4,2.8,6,0,0.0
battle-gen9randomdoublesbattle-62420,v2,simple_heuristic,v2A4d7676aep8000,1,8,brambleghast|dewgong|grimmsnarl|sawsbucksummer|slaking|zebstrika,altaria|chesnaught|gastrodoneast|okidogi|ragingbolt|wyrdeer,4,2,1.346,6,0,0.0
battle-gen9randomdoublesbattle-62421,v2,simple_heuristic,v2A4d7676aep8000,1,7,articuno|hitmontop|latias|orthworm|raichu|tornadus,alcremiesaltedcream|arcanine|chienpao|kilowattrel|lycanrocdusk|torterra,4,2,1.021,6,0,0.0
battle-gen9randomdoublesbattle-62422,v2,simple_heuristic,Opp4d7676aep8000,0,11,barraskewda|cobalion|ironcrown|kleavor|pachirisu|trevenant,alomomola|gougingfire|hitmontop|kommoo|mew|polteageistantique,6,0,0.0,5,1,0.29
battle-gen9randomdoublesbattle-62423,v2,simple_heuristic,v2A4d7676aep8000,1,8,chimecho|dragonite|golduck|palafin|spidops|vikavolt,excadrill|glimmora|houndstone|hydrapple|oricoriosensu|porygon2,5,1,1.0,6,0,0.0
battle-gen9randomdoublesbattle-62424,v2,simple_heuristic,v2A4d7676aep8000,1,11,froslass|hydreigon|raikou|scizor|vileplume|weezing,ampharos|camerupt|fluttermane|mesprit|vileplume|zamazenta,4,2,0.636,6,0,0.0
battle-gen9randomdoublesbattle-62425,v2,simple_heuristic,v2A4d7676aep8000,1,8,abomasnow|pelipper|phione|porygonz|trevenant|yanmega,groudon|masquerain|meloetta|skuntank|tornadus|toxtricity,4,2,0.914,6,0,0.0
battle-gen9randomdoublesbattle-62426,v2,simple_heuristic,v2A4d7676aep8000,1,11,eelektross|fezandipiti|frosmoth|gumshoos|lycanroc|tornadus,annihilape|araquanid|mimikyu|orthworm|urshifurapidstrike|wigglytuff,5,1,0.764,6,0,0.0
battle-gen9randomdoublesbattle-62427,v2,simple_heuristic,v2A4d7676aep8000,1,6,articuno|brutebonnet|dachsbun|ditto|heracross|rotomfan,arboliva|ceruledge|chiyu|cobalion|haxorus|lokix,1,5,5.0,6,0,0.0
battle-gen9randomdoublesbattle-62428,v2,simple_heuristic,Opp4d7676aep8000,0,14,clefairy|gallade|granbull|gyarados|oricorio|pyroar,alcremie|cobalion|dachsbun|dipplin|sinistchamasterpiece|ursaluna,6,0,0.0,4,2,1.63
battle-gen9randomdoublesbattle-62429,v2,simple_heuristic,Opp4d7676aep8000,0,11,dewgong|hariyama|miniorblue|registeel|taurospaldeacombat|zarude,clodsire|decidueyehisui|qwilfishhisui|rampardos|sceptile,6,0,0.0,3,2,1.11
battle-gen9randomdoublesbattle-62430,v2,simple_heuristic,Opp4d7676aep8000,0,9,deoxysdefense|forretress|incineroar|ironbundle|milotic|skeledirge,azumarill|dudunsparcethreesegment|electabuzz|furret|ironmoth,6,0,0.0,3,2,0.77
battle-gen9randomdoublesbattle-62431,v2,simple_heuristic,Opp4d7676aep8000,0,13,alcremierubycream|appletun|latias|mudsdale|spidops|uxie,blastoise|darkrai|gumshoos|meowstic|necrozma|porygon2,6,0,0.0,5,1,0.61
