matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9753,97.53,25.3481,3.5365,0.0301,0.30420453195050834,Baseline,✅ N=10k
max_power,10000,8021,80.21000000000001,18.768,1.9048,0.1916,0.7808817019008617,Baseline,✅ N=10k
v22,10000,6572,65.72,19.7276,1.3956,0.64,0.930287691754518,Pure Imitation,✅ N=10k
v1,10000,5044,50.44,17.6343,0.9081,0.4949,0.9799440466326446,Heuristic (Basic),✅ N=10k
one_step,10000,4993,49.93,17.4151,0.8962,0.5017,0.9799810318872041,Baseline,✅ N=10k
v2,10000,4912,49.120000000000005,17.5169,0.8872,0.5142,0.9798302009034303,Heuristic (Basic),✅ N=10k
v3,10000,4908,49.08,17.5479,0.894,0.5108,0.9798160868749541,Heuristic (Basic),✅ N=10k
safe_one_step,10000,4883,48.83,17.2515,0.8739,0.5125,0.9797136560626103,Baseline,✅ N=10k
v6,10000,4881,48.809999999999995,17.5273,0.8806,0.5123,0.9797044024551144,Heuristic (Basic),✅ N=10k
v5,10000,4775,47.75,17.4795,0.8588,0.5291,0.9789892576762808,Heuristic (Basic),✅ N=10k
v4,10000,4759,47.589999999999996,17.5596,0.8414,0.5278,0.978842963644263,Heuristic (Basic),✅ N=10k
v15,10000,3923,39.23,18.3715,0.6432,1.3857,0.9569778003116071,Minimax Search,✅ N=10k
v7,10000,3897,38.97,17.3117,0.6632,0.7034,0.9558395113352831,Heuristic (Strategic),✅ N=10k
v16,10000,3874,38.74,18.5072,0.6419,1.3944,0.9548087613423264,Minimax Search,✅ N=10k
v19,1000,378,37.8,17.589,0.623,1.342,3.005309355268306,Imitation Learning,⚠️ N=1k (high variance)
v8,10000,3740,37.4,17.1919,0.6253,0.7178,0.9483552630402761,Heuristic (Strategic),✅ N=10k
v10,10000,3652,36.52,17.2191,0.6007,0.7112,0.9436956094442454,Heuristic (Tactical),✅ N=10k
v18,1000,365,36.5,17.964,0.609,1.322,2.983880222405687,MCTS Search,⚠️ N=1k (high variance)
v17,10000,3591,35.91,18.112,0.5928,1.4887,0.9402664266490995,MCTS Search,✅ N=10k
v9,10000,3514,35.14,17.302,0.6411,0.7458,0.9357017501070073,Heuristic (Strategic),✅ N=10k
v11,10000,3435,34.35,17.2828,0.6143,0.7397,0.9307409604032615,Heuristic (Tactical),✅ N=10k
v21,10000,3419,34.19,17.3943,0.557,1.4305,0.9297016180799089,Imitation Learning,✅ N=10k
v14,10000,3209,32.09,17.8099,0.5193,1.3278,0.9149551685516082,Heuristic (Prediction),✅ N=10k
abyssal,10000,3064,30.64,17.3288,0.548,0.7863,0.9035392303455603,Baseline,✅ N=10k
simple_heuristic,10000,3026,30.259999999999998,17.3275,0.5666,0.7854,0.9003752002680104,Baseline,✅ N=10k
v20,1000,288,28.799999999999997,17.329,0.474,1.549,2.8066246274417503,Imitation Learning,⚠️ N=1k (high variance)
v13,10000,2738,27.38,17.9529,0.495,1.3561,0.8739627754727397,Heuristic (Advanced),✅ N=10k
v12,10000,2329,23.29,17.1217,0.4021,0.8738,0.8284357398069295,Heuristic (Tera),✅ N=10k
