won,voluntary_switches_us,forced_switches_us,voluntary_switches_opp,matchup_switches_us
loss,2.424124513618677,5.233463035019455,3.357976653696498,1.2918287937743191
win,2.1914893617021276,3.5319148936170213,3.2624113475177303,1.0921985815602837
