battle_id,winner,turns,won
battle-gen9randombattle-11355,Rand_41ab,15,0
battle-gen9randombattle-11356,Rand_41ab,19,0
battle-gen9randombattle-11357,Rand_41ab,18,0
battle-gen9randombattle-11358,Smart_41ab,15,1
battle-gen9randombattle-11359,Smart_41ab,13,1
battle-gen9randombattle-11360,Smart_41ab,18,1
battle-gen9randombattle-11361,Rand_41ab,10,0
battle-gen9randombattle-11362,Rand_41ab,19,0
battle-gen9randombattle-11363,Smart_41ab,14,1
battle-gen9randombattle-11364,Smart_41ab,12,1
battle-gen9randombattle-11365,Rand_41ab,12,0
battle-gen9randombattle-11366,Rand_41ab,18,0
battle-gen9randombattle-11367,Rand_41ab,12,0
battle-gen9randombattle-11368,Rand_41ab,13,0
battle-gen9randombattle-11369,Smart_41ab,14,1
battle-gen9randombattle-11370,Smart_41ab,18,1
battle-gen9randombattle-11371,Rand_41ab,17,0
battle-gen9randombattle-11372,Smart_41ab,17,1
battle-gen9randombattle-11373,Smart_41ab,15,1
battle-gen9randombattle-11374,Rand_41ab,19,0
battle-gen9randombattle-11375,Smart_41ab,15,1
battle-gen9randombattle-11376,Smart_41ab,11,1
battle-gen9randombattle-11377,Smart_41ab,16,1
battle-gen9randombattle-11378,Smart_41ab,15,1
battle-gen9randombattle-11379,Smart_41ab,19,1
battle-gen9randombattle-11380,Rand_41ab,19,0
battle-gen9randombattle-11381,Smart_41ab,12,1
battle-gen9randombattle-11382,Rand_41ab,14,0
battle-gen9randombattle-11383,Rand_41ab,17,0
battle-gen9randombattle-11384,Rand_41ab,31,0
battle-gen9randombattle-11385,Rand_41ab,17,0
battle-gen9randombattle-11386,Rand_41ab,17,0
battle-gen9randombattle-11387,Rand_41ab,16,0
battle-gen9randombattle-11388,Smart_41ab,21,1
battle-gen9randombattle-11389,Smart_41ab,19,1
battle-gen9randombattle-11390,Smart_41ab,21,1
battle-gen9randombattle-11391,Rand_41ab,19,0
battle-gen9randombattle-11392,Rand_41ab,15,0
battle-gen9randombattle-11393,Rand_41ab,17,0
battle-gen9randombattle-11394,Rand_41ab,17,0
battle-gen9randombattle-11395,Smart_41ab,15,1
battle-gen9randombattle-11396,Smart_41ab,12,1
battle-gen9randombattle-11397,Rand_41ab,21,0
battle-gen9randombattle-11398,Smart_41ab,91,1
battle-gen9randombattle-11399,Smart_41ab,10,1
battle-gen9randombattle-11400,Rand_41ab,17,0
battle-gen9randombattle-11401,Smart_41ab,19,1
battle-gen9randombattle-11402,Rand_41ab,21,0
battle-gen9randombattle-11403,Smart_41ab,18,1
battle-gen9randombattle-11404,Rand_41ab,14,0
battle-gen9randombattle-11405,Rand_41ab,16,0
battle-gen9randombattle-11406,Rand_41ab,102,0
battle-gen9randombattle-11407,Rand_41ab,18,0
battle-gen9randombattle-11408,Rand_41ab,17,0
battle-gen9randombattle-11409,Smart_41ab,15,1
battle-gen9randombattle-11410,Rand_41ab,16,0
battle-gen9randombattle-11411,Smart_41ab,16,1
battle-gen9randombattle-11412,Smart_41ab,17,1
battle-gen9randombattle-11413,Rand_41ab,22,0
battle-gen9randombattle-11414,Rand_41ab,22,0
battle-gen9randombattle-11415,Rand_41ab,19,0
battle-gen9randombattle-11416,Rand_41ab,17,0
battle-gen9randombattle-11417,Rand_41ab,16,0
battle-gen9randombattle-11418,Smart_41ab,17,1
battle-gen9randombattle-11419,Rand_41ab,15,0
battle-gen9randombattle-11420,Smart_41ab,15,1
battle-gen9randombattle-11421,Smart_41ab,13,1
battle-gen9randombattle-11422,Rand_41ab,15,0
battle-gen9randombattle-11423,Rand_41ab,14,0
battle-gen9randombattle-11424,Smart_41ab,21,1
battle-gen9randombattle-11425,Rand_41ab,14,0
battle-gen9randombattle-11426,Smart_41ab,16,1
battle-gen9randombattle-11427,Smart_41ab,17,1
battle-gen9randombattle-11428,Rand_41ab,16,0
battle-gen9randombattle-11429,Smart_41ab,15,1
battle-gen9randombattle-11430,Smart_41ab,34,1
battle-gen9randombattle-11431,Rand_41ab,12,0
battle-gen9randombattle-11432,Rand_41ab,23,0
battle-gen9randombattle-11433,Smart_41ab,18,1
battle-gen9randombattle-11434,Smart_41ab,15,1
battle-gen9randombattle-11435,Smart_41ab,16,1
battle-gen9randombattle-11436,Rand_41ab,12,0
battle-gen9randombattle-11437,Rand_41ab,17,0
battle-gen9randombattle-11438,Rand_41ab,12,0
battle-gen9randombattle-11439,Rand_41ab,18,0
battle-gen9randombattle-11440,Smart_41ab,14,1
battle-gen9randombattle-11441,Rand_41ab,13,0
battle-gen9randombattle-11442,Smart_41ab,21,1
battle-gen9randombattle-11443,Rand_41ab,13,0
battle-gen9randombattle-11444,Smart_41ab,15,1
battle-gen9randombattle-11445,Smart_41ab,13,1
battle-gen9randombattle-11446,Smart_41ab,17,1
battle-gen9randombattle-11447,Smart_41ab,21,1
battle-gen9randombattle-11448,Rand_41ab,19,0
battle-gen9randombattle-11449,Smart_41ab,21,1
battle-gen9randombattle-11450,Rand_41ab,11,0
battle-gen9randombattle-11451,Smart_41ab,17,1
battle-gen9randombattle-11452,Rand_41ab,21,0
battle-gen9randombattle-11453,Smart_41ab,14,1
battle-gen9randombattle-11454,Smart_41ab,18,1
battle-gen9randombattle-11455,Rand_41ab,19,0
battle-gen9randombattle-11456,Smart_41ab,13,1
battle-gen9randombattle-11457,Rand_41ab,13,0
battle-gen9randombattle-11458,Rand_41ab,20,0
battle-gen9randombattle-11459,Smart_41ab,12,1
battle-gen9randombattle-11460,Rand_41ab,17,0
battle-gen9randombattle-11461,Smart_41ab,15,1
battle-gen9randombattle-11462,Smart_41ab,14,1
battle-gen9randombattle-11463,Smart_41ab,15,1
battle-gen9randombattle-11464,Rand_41ab,17,0
battle-gen9randombattle-11465,Rand_41ab,19,0
battle-gen9randombattle-11466,Rand_41ab,17,0
battle-gen9randombattle-11467,Smart_41ab,20,1
battle-gen9randombattle-11468,Smart_41ab,15,1
battle-gen9randombattle-11469,Rand_41ab,15,0
battle-gen9randombattle-11470,Smart_41ab,12,1
battle-gen9randombattle-11471,Smart_41ab,20,1
battle-gen9randombattle-11472,Rand_41ab,21,0
battle-gen9randombattle-11473,Rand_41ab,14,0
battle-gen9randombattle-11474,Smart_41ab,16,1
battle-gen9randombattle-11475,Smart_41ab,19,1
battle-gen9randombattle-11476,Smart_41ab,17,1
battle-gen9randombattle-11477,Smart_41ab,16,1
battle-gen9randombattle-11478,Rand_41ab,17,0
battle-gen9randombattle-11479,Rand_41ab,18,0
battle-gen9randombattle-11480,Rand_41ab,15,0
battle-gen9randombattle-11481,Smart_41ab,17,1
battle-gen9randombattle-11482,Smart_41ab,17,1
battle-gen9randombattle-11483,Rand_41ab,15,0
battle-gen9randombattle-11484,Smart_41ab,15,1
battle-gen9randombattle-11485,Rand_41ab,22,0
battle-gen9randombattle-11486,Smart_41ab,20,1
battle-gen9randombattle-11487,Rand_41ab,23,0
battle-gen9randombattle-11488,Rand_41ab,18,0
battle-gen9randombattle-11489,Rand_41ab,23,0
battle-gen9randombattle-11490,Smart_41ab,13,1
battle-gen9randombattle-11491,Smart_41ab,12,1
battle-gen9randombattle-11492,Rand_41ab,19,0
battle-gen9randombattle-11493,Smart_41ab,14,1
battle-gen9randombattle-11494,Rand_41ab,13,0
