battle_id,winner,turns,won
battle-gen9randomdoublesbattle-50258,VGC_A_2019,6,1
battle-gen9randomdoublesbattle-50259,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50260,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50261,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50262,VGC_A_2019,17,1
battle-gen9randomdoublesbattle-50263,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50264,VGC_A_2019,11,1
battle-gen9randomdoublesbattle-50265,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50266,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50267,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50268,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50269,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50270,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50271,VGC_B_2019,27,0
battle-gen9randomdoublesbattle-50272,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50273,VGC_A_2019,25,1
battle-gen9randomdoublesbattle-50274,VGC_A_2019,25,1
battle-gen9randomdoublesbattle-50275,VGC_A_2019,10,1
battle-gen9randomdoublesbattle-50276,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50277,VGC_A_2019,17,1
battle-gen9randomdoublesbattle-50278,VGC_A_2019,24,1
battle-gen9randomdoublesbattle-50279,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50280,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50281,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50282,VGC_B_2019,20,0
battle-gen9randomdoublesbattle-50283,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50284,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50285,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50286,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50287,VGC_A_2019,10,1
battle-gen9randomdoublesbattle-50288,VGC_A_2019,22,1
battle-gen9randomdoublesbattle-50289,VGC_A_2019,23,1
battle-gen9randomdoublesbattle-50290,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50291,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50292,VGC_A_2019,14,1
battle-gen9randomdoublesbattle-50293,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50294,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50295,VGC_A_2019,12,1
battle-gen9randomdoublesbattle-50296,VGC_B_2019,11,0
battle-gen9randomdoublesbattle-50297,VGC_A_2019,23,1
battle-gen9randomdoublesbattle-50298,VGC_A_2019,17,1
battle-gen9randomdoublesbattle-50299,VGC_A_2019,26,1
battle-gen9randomdoublesbattle-50300,VGC_B_2019,10,0
battle-gen9randomdoublesbattle-50301,VGC_A_2019,18,1
battle-gen9randomdoublesbattle-50302,VGC_B_2019,19,0
battle-gen9randomdoublesbattle-50303,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50304,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50305,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50306,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50307,VGC_A_2019,14,1
battle-gen9randomdoublesbattle-50308,VGC_A_2019,18,1
battle-gen9randomdoublesbattle-50309,VGC_B_2019,22,0
battle-gen9randomdoublesbattle-50310,VGC_B_2019,19,0
battle-gen9randomdoublesbattle-50311,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50312,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50313,VGC_B_2019,9,0
battle-gen9randomdoublesbattle-50314,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50315,VGC_B_2019,11,0
battle-gen9randomdoublesbattle-50316,VGC_A_2019,18,1
battle-gen9randomdoublesbattle-50317,VGC_B_2019,19,0
battle-gen9randomdoublesbattle-50318,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50319,VGC_B_2019,20,0
battle-gen9randomdoublesbattle-50320,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50321,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50322,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50323,VGC_A_2019,14,1
battle-gen9randomdoublesbattle-50324,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50325,VGC_A_2019,22,1
battle-gen9randomdoublesbattle-50326,VGC_B_2019,24,0
battle-gen9randomdoublesbattle-50327,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50328,VGC_B_2019,28,0
battle-gen9randomdoublesbattle-50329,VGC_B_2019,8,0
battle-gen9randomdoublesbattle-50330,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50331,VGC_A_2019,12,1
battle-gen9randomdoublesbattle-50332,VGC_A_2019,11,1
battle-gen9randomdoublesbattle-50333,VGC_A_2019,14,1
battle-gen9randomdoublesbattle-50334,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50335,VGC_A_2019,13,1
battle-gen9randomdoublesbattle-50336,VGC_A_2019,13,1
battle-gen9randomdoublesbattle-50337,VGC_A_2019,17,1
battle-gen9randomdoublesbattle-50338,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50339,VGC_B_2019,12,0
battle-gen9randomdoublesbattle-50340,VGC_A_2019,28,1
battle-gen9randomdoublesbattle-50341,VGC_A_2019,32,1
battle-gen9randomdoublesbattle-50342,VGC_A_2019,23,1
battle-gen9randomdoublesbattle-50343,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50344,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50345,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50346,VGC_A_2019,21,1
battle-gen9randomdoublesbattle-50347,VGC_B_2019,12,0
battle-gen9randomdoublesbattle-50348,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50349,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50350,VGC_B_2019,24,0
battle-gen9randomdoublesbattle-50351,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50352,VGC_A_2019,21,1
battle-gen9randomdoublesbattle-50353,VGC_A_2019,26,1
battle-gen9randomdoublesbattle-50354,VGC_B_2019,12,0
battle-gen9randomdoublesbattle-50355,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50356,VGC_B_2019,25,0
battle-gen9randomdoublesbattle-50357,VGC_A_2019,17,1
battle-gen9randomdoublesbattle-50358,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50359,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50360,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50361,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50362,VGC_A_2019,12,1
battle-gen9randomdoublesbattle-50363,VGC_B_2019,12,0
battle-gen9randomdoublesbattle-50364,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50365,VGC_B_2019,11,0
