battle_id,winner,turns,won
battle-gen9randomdoublesbattle-40174,VGC_B_471c,12,0
battle-gen9randomdoublesbattle-40175,VGC_A_471c,16,1
battle-gen9randomdoublesbattle-40176,VGC_B_471c,21,0
battle-gen9randomdoublesbattle-40177,VGC_B_471c,23,0
battle-gen9randomdoublesbattle-40178,VGC_A_471c,12,1
battle-gen9randomdoublesbattle-40179,VGC_B_471c,18,0
battle-gen9randomdoublesbattle-40180,VGC_B_471c,14,0
battle-gen9randomdoublesbattle-40181,VGC_B_471c,17,0
battle-gen9randomdoublesbattle-40182,VGC_A_471c,13,1
battle-gen9randomdoublesbattle-40183,VGC_B_471c,11,0
battle-gen9randomdoublesbattle-40184,VGC_B_471c,19,0
battle-gen9randomdoublesbattle-40185,VGC_A_471c,18,1
battle-gen9randomdoublesbattle-40186,VGC_B_471c,16,0
battle-gen9randomdoublesbattle-40187,VGC_B_471c,23,0
battle-gen9randomdoublesbattle-40188,VGC_B_471c,14,0
battle-gen9randomdoublesbattle-40189,VGC_A_471c,17,1
battle-gen9randomdoublesbattle-40190,VGC_B_471c,16,0
battle-gen9randomdoublesbattle-40191,VGC_A_471c,17,1
battle-gen9randomdoublesbattle-40192,VGC_B_471c,30,0
battle-gen9randomdoublesbattle-40193,VGC_B_471c,15,0
battle-gen9randomdoublesbattle-40194,VGC_B_471c,25,0
battle-gen9randomdoublesbattle-40195,VGC_B_471c,22,0
battle-gen9randomdoublesbattle-40196,VGC_B_471c,29,0
battle-gen9randomdoublesbattle-40197,VGC_B_471c,13,0
battle-gen9randomdoublesbattle-40198,VGC_A_471c,18,1
battle-gen9randomdoublesbattle-40199,VGC_B_471c,13,0
battle-gen9randomdoublesbattle-40200,VGC_B_471c,17,0
battle-gen9randomdoublesbattle-40201,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40202,VGC_A_471c,12,1
battle-gen9randomdoublesbattle-40203,VGC_A_471c,36,1
battle-gen9randomdoublesbattle-40204,VGC_A_471c,19,1
battle-gen9randomdoublesbattle-40205,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40206,VGC_A_471c,30,1
battle-gen9randomdoublesbattle-40207,VGC_A_471c,7,1
battle-gen9randomdoublesbattle-40208,VGC_A_471c,14,1
battle-gen9randomdoublesbattle-40209,VGC_B_471c,20,0
battle-gen9randomdoublesbattle-40210,VGC_B_471c,18,0
battle-gen9randomdoublesbattle-40211,VGC_B_471c,24,0
battle-gen9randomdoublesbattle-40212,VGC_A_471c,19,1
battle-gen9randomdoublesbattle-40213,VGC_B_471c,10,0
battle-gen9randomdoublesbattle-40214,VGC_A_471c,19,1
battle-gen9randomdoublesbattle-40215,VGC_A_471c,8,1
battle-gen9randomdoublesbattle-40216,VGC_B_471c,30,0
battle-gen9randomdoublesbattle-40217,VGC_B_471c,18,0
battle-gen9randomdoublesbattle-40218,VGC_B_471c,19,0
battle-gen9randomdoublesbattle-40219,VGC_B_471c,25,0
battle-gen9randomdoublesbattle-40220,VGC_B_471c,28,0
battle-gen9randomdoublesbattle-40221,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40222,VGC_A_471c,10,1
battle-gen9randomdoublesbattle-40223,VGC_A_471c,16,1
battle-gen9randomdoublesbattle-40224,VGC_A_471c,16,1
battle-gen9randomdoublesbattle-40225,VGC_A_471c,14,1
battle-gen9randomdoublesbattle-40226,VGC_A_471c,20,1
battle-gen9randomdoublesbattle-40227,VGC_B_471c,13,0
battle-gen9randomdoublesbattle-40228,VGC_B_471c,33,0
battle-gen9randomdoublesbattle-40229,VGC_A_471c,17,1
battle-gen9randomdoublesbattle-40230,VGC_B_471c,20,0
battle-gen9randomdoublesbattle-40231,VGC_B_471c,12,0
battle-gen9randomdoublesbattle-40232,VGC_A_471c,11,1
battle-gen9randomdoublesbattle-40233,VGC_B_471c,15,0
battle-gen9randomdoublesbattle-40234,VGC_A_471c,20,1
battle-gen9randomdoublesbattle-40235,VGC_B_471c,24,0
battle-gen9randomdoublesbattle-40236,VGC_B_471c,17,0
battle-gen9randomdoublesbattle-40237,VGC_A_471c,16,1
battle-gen9randomdoublesbattle-40238,VGC_B_471c,33,0
