battle_id,winner,turns,won
battle-gen9randomdoublesbattle-32166,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32167,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32168,VGC_B_7cd9,32,0
battle-gen9randomdoublesbattle-32169,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32170,VGC_A_7cd9,20,1
battle-gen9randomdoublesbattle-32171,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32172,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32173,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32174,VGC_B_7cd9,22,0
battle-gen9randomdoublesbattle-32175,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32176,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32177,VGC_A_7cd9,22,1
battle-gen9randomdoublesbattle-32178,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32179,VGC_B_7cd9,26,0
battle-gen9randomdoublesbattle-32180,VGC_B_7cd9,20,0
battle-gen9randomdoublesbattle-32181,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32182,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32183,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32184,VGC_B_7cd9,21,0
battle-gen9randomdoublesbattle-32185,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32186,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32187,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32188,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32189,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32190,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32191,VGC_A_7cd9,11,1
battle-gen9randomdoublesbattle-32192,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32193,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32194,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32195,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32196,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32197,VGC_A_7cd9,23,1
battle-gen9randomdoublesbattle-32198,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32199,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32200,VGC_A_7cd9,21,1
battle-gen9randomdoublesbattle-32201,VGC_A_7cd9,23,1
battle-gen9randomdoublesbattle-32202,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32203,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32204,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32205,VGC_B_7cd9,20,0
battle-gen9randomdoublesbattle-32206,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32207,VGC_B_7cd9,22,0
battle-gen9randomdoublesbattle-32208,VGC_B_7cd9,20,0
battle-gen9randomdoublesbattle-32209,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32210,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32211,VGC_A_7cd9,24,1
battle-gen9randomdoublesbattle-32212,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32213,VGC_A_7cd9,21,1
battle-gen9randomdoublesbattle-32214,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32215,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32216,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32217,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32218,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32219,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32220,VGC_A_7cd9,12,1
battle-gen9randomdoublesbattle-32221,VGC_A_7cd9,20,1
battle-gen9randomdoublesbattle-32222,VGC_A_7cd9,11,1
battle-gen9randomdoublesbattle-32223,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32224,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32225,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32226,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32227,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32228,VGC_A_7cd9,30,1
battle-gen9randomdoublesbattle-32229,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32230,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32231,VGC_A_7cd9,23,1
battle-gen9randomdoublesbattle-32232,VGC_B_7cd9,16,0
