battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randombattle-14307,v2,simple_heuristic,Oppb68a01b1p8002,0,18,abomasnow|barraskewda|corviknight|probopass|terapagosterastal|uxie,camerupt|crawdaunt|infernape|screamtail|umbreon,6,0,0.0,4,1,0.86
battle-gen9randombattle-14308,v2,simple_heuristic,Oppb68a01b1p8002,0,24,coalossal|duraludon|golurk|keldeoresolute|meowstic|toxapex,bellossom|bronzong|grimmsnarl|milotic|registeel|typhlosion,6,0,0.0,5,1,0.61
battle-gen9randombattle-14309,v2,simple_heuristic,Oppb68a01b1p8002,0,20,beartic|eelektross|emboar|feraligatr|slowbro|stonjourner,deoxys|ironhands|spidops|tinkaton,6,0,0.0,3,1,0.91
battle-gen9randombattle-14310,v2,simple_heuristic,Oppb68a01b1p8002,0,20,comfey|dusknoir|groudon|snorlax|terapagosterastal|zekrom,bronzong|coalossal|drednaw|exeggutoralola|ogerponwellspring|oinkolognef,6,0,0.0,5,1,0.79
battle-gen9randombattle-14311,v2,simple_heuristic,Oppb68a01b1p8002,0,16,brutebonnet|dondozo|leafeon|probopass|raikou|regice,basculinbluestriped|fezandipiti|floatzel|hitmontop|ironcrown|rayquaza,6,0,0.0,5,1,1.0
battle-gen9randombattle-14312,v2,simple_heuristic,Oppb68a01b1p8002,0,16,dudunsparcethreesegment|ironhands|oranguru|torkoal|toxicroak|yanmega,empoleon|grafaiai|greninja|hitmonlee|regigigas|skarmory,6,0,0.0,5,1,0.75
battle-gen9randombattle-14313,v2,simple_heuristic,Oppb68a01b1p8002,0,14,armarouge|bastiodon|donphan|exeggutor|flamigo|kyuremwhite,arbok|bruxish|cloyster|eelektross|ironvaliant|ogerponcornerstone,6,0,0.0,5,1,0.53
battle-gen9randombattle-14314,v2,simple_heuristic,Oppb68a01b1p8002,0,18,cinccino|dialgaorigin|girafarig|mimikyubusted|tinkaton|weavile,araquanid|gardevoir|girafarig|regigigas|toxtricity|zamazenta,6,0,0.0,5,1,0.13
battle-gen9randombattle-14315,v2,simple_heuristic,Oppb68a01b1p8002,0,13,arceusghost|bruxish|froslass|glimmora|ludicolo|zangoose,farigiraf|hatterene|raikou|taurospaldeacombat|urshifu,6,0,0.0,4,1,0.88
battle-gen9randombattle-14316,v2,simple_heuristic,Oppb68a01b1p8002,0,20,altaria|comfey|glaceon|morpeko|regice|swalot,furret|lilliganthisui|roaringmoon|tinkaton|vaporeon|walkingwake,6,0,0.0,5,1,0.84
battle-gen9randombattle-14317,v2,simple_heuristic,v2Ab68a01b1p8002,1,18,altaria|armarouge|beartic|bronzong|conkeldurr|shaymin,chesnaught|fluttermane|granbull|mamoswine|toxicroak|vigoroth,4,2,1.708,6,0,0.0
battle-gen9randombattle-14318,v2,simple_heuristic,Oppb68a01b1p8002,0,22,azumarill|bastiodon|heracross|lunala|porygon2|terrakion,brutebonnet|incineroar|koraidon|lunala|magcargo|toxapex,6,0,0.0,5,1,0.85
battle-gen9randombattle-14319,v2,simple_heuristic,Oppb68a01b1p8002,0,15,barraskewda|entei|ironboulder|mew|probopass|tropius,dusknoir|irontreads|ironvaliant|ogerpon|volcanion,6,0,0.0,4,1,0.48
battle-gen9randombattle-14320,v2,simple_heuristic,Oppb68a01b1p8002,0,20,basculegion|miniorindigo|pyroar|slowbrogalar|venusaur|vespiquen,inteleon|orthworm|samurotthisui|spectrier|venusaur,6,0,0.0,4,1,0.14
battle-gen9randombattle-14321,v2,simple_heuristic,Oppb68a01b1p8002,0,19,alcremierainbowswirl|dewgong|drednaw|hatterene|hydrapple|kilowattrel,bellossom|florgesyellow|greattusk|revavroom|solgaleo,6,0,0.0,4,1,1.0
battle-gen9randombattle-14322,v2,simple_heuristic,Oppb68a01b1p8002,0,18,deoxysspeed|lokix|lugia|mimikyubusted|okidogi|pawmot,araquanid|golurk|gothitelle|hitmonchan|morpeko,6,0,0.0,4,1,0.18
battle-gen9randombattle-14323,v2,simple_heuristic,Oppb68a01b1p8002,0,12,crawdaunt|exeggutor|grimmsnarl|revavroom|uxie|volcarona,kilowattrel|oranguru|sandaconda|whimsicott,6,0,0.0,3,1,1.0
battle-gen9randombattle-14324,v2,simple_heuristic,Oppb68a01b1p8002,0,17,chienpao|electivire|espathra|irontreads|reuniclus|taurospaldeablaze,basculegion|brambleghast|hydrapple|kingdra|rotomfrost,6,0,0.0,4,1,0.56
battle-gen9randombattle-14325,v2,simple_heuristic,v2Ab68a01b1p8002,1,13,flareon|hatterene|indeedee|ironbundle|lycanroc|plusle,ambipom|arbok|gougingfire|granbull|probopass|yanmega,2,4,3.171,6,0,0.0
battle-gen9randombattle-14326,v2,simple_heuristic,Oppb68a01b1p8002,0,16,chiyu|flareon|floatzel|mesprit|skuntank|spidops,amoonguss|banette|dodrio|gliscor|lycanroc|taurospaldeaaqua,6,0,0.0,5,1,0.46
battle-gen9randombattle-14327,v2,simple_heuristic,Oppb68a01b1p8002,0,18,conkeldurr|dragonite|keldeoresolute|munkidori|oranguru|skuntank,abomasnow|hypno|kilowattrel|raikou|toedscruel,6,0,0.0,3,2,1.01
battle-gen9randombattle-14328,v2,simple_heuristic,v2Ab68a01b1p8002,1,14,dedenne|palossand|seviper|sudowoodo|suicune|zangoose,chesnaught|corviknight|flamigo|lanturn|vikavolt|wigglytuff,4,2,1.857,6,0,0.0
battle-gen9randombattle-14329,v2,simple_heuristic,v2Ab68a01b1p8002,1,19,cacturne|galvantula|grumpig|hawlucha|latias|seviper,gliscor|grafaiai|mamoswine|rotomheat|sawsbuckautumn|thundurus,5,1,0.906,6,0,0.0
battle-gen9randombattle-14330,v2,simple_heuristic,Oppb68a01b1p8002,0,11,deoxysdefense|indeedee|landorus|magnezone|palafin|zekrom,bombirdier|dugtrio|golduck|vespiquen,6,0,0.0,2,2,1.36
battle-gen9randombattle-14331,v2,simple_heuristic,Oppb68a01b1p8002,0,13,camerupt|cetitan|dondozo|feraligatr|kommoo|toxicroak,cramorant|ironvaliant|morpeko|munkidori|quagsire,6,0,0.0,4,1,0.54
battle-gen9randombattle-14332,v2,simple_heuristic,v2Ab68a01b1p8002,1,16,eiscue|espeon|heatran|kilowattrel|vaporeon|whiscash,basculegionf|coalossal|mewtwo|mightyena|toxapex|ursaring,3,3,2.297,6,0,0.0
battle-gen9randombattle-14333,v2,simple_heuristic,v2Ab68a01b1p8002,1,16,espeon|grumpig|maushold|mismagius|rotomfrost|terapagosterastal,azelf|chansey|eiscue|sneasler|victreebel|weavile,4,2,1.101,6,0,0.0
battle-gen9randombattle-14334,v2,simple_heuristic,Oppb68a01b1p8002,0,15,ampharos|delibird|kilowattrel|kleavor|kommoo|rampardos,dragapult|florges|hydrapple|leafeon|milotic,6,0,0.0,3,2,0.95
battle-gen9randombattle-14335,v2,simple_heuristic,Oppb68a01b1p8002,0,12,cobalion|diancie|dodrio|entei|gothitelle|swanna,ambipom|barraskewda|golem|miraidon,6,0,0.0,3,1,0.23
battle-gen9randombattle-14336,v2,simple_heuristic,Oppb68a01b1p8002,0,16,drifblim|florges|krookodile|persianalola|slitherwing|staraptor,arbok|arcaninehisui|florgeswhite|terrakion,6,0,0.0,3,1,0.28
battle-gen9randombattle-14337,v2,simple_heuristic,Oppb68a01b1p8002,0,16,deoxys|glastrier|grafaiai|milotic|raichualola|rillaboom,ambipom|amoonguss|ironjugulis|plusle|sinistcha|wigglytuff,6,0,0.0,5,1,0.91
battle-gen9randombattle-14338,v2,simple_heuristic,Oppb68a01b1p8002,0,18,florgesorange|froslass|ironmoth|mabosstiff|miraidon|shaymin,chandelure|dondozo|gastrodoneast|jolteon|medicham|oinkologne,6,0,0.0,5,1,0.34
battle-gen9randombattle-14339,v2,simple_heuristic,Oppb68a01b1p8002,0,13,azelf|klefki|mienshao|porygon2|salamence|scovillain,diancie|mienshao|primarina|regigigas,6,0,0.0,3,1,0.18
battle-gen9randombattle-14340,v2,simple_heuristic,Oppb68a01b1p8002,0,19,dachsbun|lurantis|medicham|mightyena|vespiquen|weavile,araquanid|arboliva|archaludon|farigiraf|kleavor,6,0,0.0,4,1,0.29
battle-gen9randombattle-14341,v2,simple_heuristic,Oppb68a01b1p8002,0,17,ariados|cobalion|greedent|milotic|porygon2|skeledirge,alcremiesaltedcream|ambipom|excadrill|ironhands|tornadus,6,0,0.0,4,1,0.11
battle-gen9randombattle-14342,v2,simple_heuristic,Oppb68a01b1p8002,0,27,dusknoir|meganium|mightyena|miraidon|pelipper|terapagosterastal,arceusghost|bombirdier|hypno|incineroar|miraidon|registeel,6,0,0.0,5,1,0.23
