battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randombattle-10604,v1,simple_heuristic,v1Ac47edd22p8000,1,20,barraskewda|conkeldurr|lokix|morpeko|scovillain|uxie,amoonguss|dedenne|gardevoir|regirock|tinglu|uxie,5,1,0.823,6,0,0.0
battle-gen9randombattle-10605,v1,simple_heuristic,Oppc47edd22p8000,0,13,banette|hitmonchan|hitmontop|ironboulder|ironcrown|sawsbuck,cinderace|dudunsparcethreesegment|duraludon|gardevoir,6,0,0.0,2,2,0.97
battle-gen9randombattle-10606,v1,simple_heuristic,Oppc47edd22p8000,0,16,azelf|chesnaught|cyclizar|hooh|lumineon|ursaluna,corviknight|hitmonlee|irontreads|lugia|regigigas|zarude,6,0,0.0,5,1,0.51
battle-gen9randombattle-10607,v1,simple_heuristic,v1Ac47edd22p8000,1,19,appletun|arcanine|barraskewda|keldeoresolute|scovillain|swalot,mandibuzz|mudsdale|ninetales|quagsire|sudowoodo|uxie,3,3,2.418,6,0,0.0
battle-gen9randombattle-10608,v1,simple_heuristic,v1Ac47edd22p8000,1,19,armarouge|dedenne|krookodile|polteageistantique|vespiquen|zekrom,cresselia|espathra|lokix|raikou|skeledirge|venomoth,5,1,0.931,6,0,0.0
battle-gen9randombattle-10609,v1,simple_heuristic,v1Ac47edd22p8000,1,21,deoxys|latios|primarina|sunflora|toxtricity|zaciancrowned,carbink|dudunsparce|electrodehisui|flamigo|garganacl|noivern,4,2,1.537,6,0,0.0
battle-gen9randombattle-10610,v1,simple_heuristic,v1Ac47edd22p8000,1,21,hatterene|ironmoth|minun|regidrago|screamtail|walkingwake,dondozo|eternatus|golurk|maushold|medicham|palafin,5,1,0.427,6,0,0.0
battle-gen9randombattle-10611,v1,simple_heuristic,Oppc47edd22p8000,0,18,appletun|azelf|miraidon|perrserker|torkoal|wugtrio,chandelure|inteleon|milotic|sinistcha|smeargle|toucannon,6,0,0.0,5,1,1.0
battle-gen9randombattle-10612,v1,simple_heuristic,Oppc47edd22p8000,0,16,arceuselectric|carbink|gardevoir|mienshao|quaquaval|reuniclus,dewgong|espeon|overqwil|scrafty|tornadustherian|zebstrika,6,0,0.0,5,1,0.46
battle-gen9randombattle-10613,v1,simple_heuristic,Oppc47edd22p8000,0,18,blastoise|cobalion|gougingfire|gurdurr|mandibuzz|zoroarkhisui,cinccino|ninetales|palossand|samurott|uxie,6,0,0.0,4,1,0.53
battle-gen9randombattle-10614,v1,simple_heuristic,Oppc47edd22p8000,0,14,brambleghast|crabominable|floatzel|jirachi|oricoriopau|thundurustherian,basculinbluestriped|cryogonal|decidueye|mienshao|plusle|tauros,6,0,0.0,5,1,0.56
battle-gen9randombattle-10615,v1,simple_heuristic,v1Ac47edd22p8000,1,27,jirachi|latias|mandibuzz|misdreavus|okidogi|weavile,comfey|dewgong|fezandipiti|glimmora|gurdurr|lapras,4,2,2.0,6,0,0.0
battle-gen9randombattle-10616,v1,simple_heuristic,v1Ac47edd22p8000,1,16,florgesorange|heracross|hydreigon|porygonz|regigigas|whimsicott,copperajah|cramorant|dragalge|hippowdon|oricoriosensu|terapagos,4,2,1.903,6,0,0.0
battle-gen9randombattle-10617,v1,simple_heuristic,v1Ac47edd22p8000,1,17,drifblim|furret|hatterene|lapras|mienshao|volcanion,bellossom|ditto|eelektross|slitherwing|spiritomb|vileplume,5,1,0.452,6,0,0.0
battle-gen9randombattle-10618,v1,simple_heuristic,v1Ac47edd22p8000,1,21,braviary|carbink|farigiraf|lunala|ninetales|toxicroak,arceusfire|bisharp|dunsparce|ironvaliant|toxapex|veluza,5,1,1.0,6,0,0.0
