battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-16735,v3,simple_heuristic,v3Ae37e16ccp8003,1,14,arceusfighting|calyrexshadow|cetitan|comfey|grumpig|reshiram,cramorant|glaceon|inteleon|ironboulder|lycanrocdusk|thundurustherian,4,2,1.219,6,0,0.0,astralbarrage|bodypress|dracometeor|drainingkiss|gigadrain|psychic
battle-gen9randombattle-16736,v3,simple_heuristic,Oppe37e16ccp8003,0,18,bastiodon|indeedee|kommoo|mamoswine|ogerponcornerstone|victreebel,altaria|articunogalar|bastiodon|delphox|mimikyu|regigigas,6,0,0.0,5,1,0.74,earthquake|foulplay|iciclecrash|ironhead|powerwhip|shadowball|sludgewave|superpower
battle-gen9randombattle-16737,v3,simple_heuristic,v3Ae37e16ccp8003,1,14,alomomola|bellibolt|braviaryhisui|garchomp|ironjugulis|magnezone,dragapult|heracross|kingambit|kyogre|oricoriopau|rotomfan,4,2,1.802,6,0,0.0,discharge|flashcannon|flipturn|hurricane|meteorbeam|outrage|thunderbolt
battle-gen9randombattle-16738,v3,simple_heuristic,v3Ae37e16ccp8003,1,16,archaludon|fezandipiti|grumpig|ludicolo|piloswine|toxapex,cyclizar|gengar|golduck|kommoo|oricorio|squawkabillyyellow,3,3,2.114,6,0,0.0,dazzlinggleam|earthquake|gunkshot|heatwave|hydropump|iciclecrash|moonblast|psychic
battle-gen9randombattle-16739,v3,simple_heuristic,Oppe37e16ccp8003,0,11,crabominable|dedenne|jolteon|probopass|scyther|smeargle,delphox|ironthorns|venusaur,6,0,0.0,2,1,1.0,closecombat|dualwingbeat|earthquake|flashcannon|powertrip|shadowball|thunderbolt
battle-gen9randombattle-16740,v3,simple_heuristic,v3Ae37e16ccp8003,1,16,altaria|comfey|cramorant|ironhands|lilligant|magcargo,altaria|carbink|clodsire|feraligatr|hawlucha|ironthorns,4,2,1.099,6,0,0.0,bravebird|drainingkiss|gigadrain|icepunch|surf|terablast|thunderpunch
battle-gen9randombattle-16741,v3,simple_heuristic,Oppe37e16ccp8003,0,15,araquanid|coalossal|dedenne|gengar|sunflora|zapdosgalar,meowstic|oinkologne|thundurustherian|toxicroak,6,0,0.0,3,1,0.1,closecombat|liquidation|overheat|shadowball|solarbeam|thunderbolt
battle-gen9randombattle-16742,v3,simple_heuristic,Oppe37e16ccp8003,0,35,chiyu|clodsire|glimmora|palafin|terapagosterastal|toedscruel,bronzong|dugtrioalola|hydrapple|mandibuzz,6,0,0.0,3,1,0.39,darkpulse|earthpower|earthquake|fireblast|leafstorm|powergem|terastarstorm|wavecrash
battle-gen9randombattle-16743,v3,simple_heuristic,Oppe37e16ccp8003,0,15,dialgaorigin|houndoom|necrozmaduskmane|palossand|politoed|tatsugiri,falinks|gardevoir|lucario|mukalola|salazzle|vivilloncontinental,6,0,0.0,5,1,0.91,darkpulse|dracometeor|earthpower|earthquake|fireblast|hydropump|icebeam|shadowball|sunsteelstrike
battle-gen9randombattle-16744,v3,simple_heuristic,v3Ae37e16ccp8003,1,17,duraludon|eiscuenoice|gumshoos|hatterene|munkidori|okidogi,cinderace|deoxys|hitmonlee|magmortar|minioryellow|oinkolognef,4,2,1.149,6,0,0.0,dracometeor|drainpunch|flashcannon|gunkshot|icespinner|liquidation|psychic|sludgewave
battle-gen9randombattle-16745,v3,simple_heuristic,Oppe37e16ccp8003,0,15,appletun|dewgong|garganacl|lycanroc|mew|plusle,clawitzer|glaceon|ironjugulis|lurantis|mewtwo,6,0,0.0,4,1,0.83,alluringvoice|bodypress|closecombat|dracometeor|stoneedge|surf|thunderbolt
battle-gen9randombattle-16746,v3,simple_heuristic,Oppe37e16ccp8003,0,14,cinccino|deoxysdefense|dugtrioalola|salazzle|squawkabillyyellow|wugtrio,appletun|indeedee|irontreads,6,0,0.0,2,1,0.44,bravebird|fireblast|foulplay|psychicnoise|throatchop|uturn
battle-gen9randombattle-16747,v3,simple_heuristic,Oppe37e16ccp8003,0,13,azelf|gardevoir|kleavor|regidrago|regirock|terapagosterastal,empoleon|flapple|lucario|regidrago,6,0,0.0,3,1,0.6,earthquake|mysticalfire|psychic|stoneedge|terastarstorm|xscissor
battle-gen9randombattle-16748,v3,simple_heuristic,Oppe37e16ccp8003,0,15,calyrex|comfey|falinks|swanna|vivilloncontinental|volcanion,diancie|dragalge|koraidon|perrserker|zoroarkhisui,6,0,0.0,3,2,0.97,bodypress|bravebird|closecombat|gigadrain|hurricane|hydropump|psyshock|sludgebomb|steameruption|terablast
battle-gen9randombattle-16749,v3,simple_heuristic,Oppe37e16ccp8003,0,18,altaria|clodsire|coalossal|greedent|noctowl|ogerponwellspring,delibird|mudsdale|poliwrath|raichu|weezinggalar,6,0,0.0,3,2,1.03,bravebird|doubleedge|earthquake|flamethrower|hurricane|hypervoice|poisonjab|woodhammer
battle-gen9randombattle-16750,v3,simple_heuristic,v3Ae37e16ccp8003,1,24,gogoat|golurk|plusle|politoed|salazzle|typhlosion,barraskewda|blissey|chimecho|jolteon|meowstic|spiritomb,3,3,2.875,6,0,0.0,alluringvoice|focusblast|hornleech|hydropump|struggle
battle-gen9randombattle-16751,v3,simple_heuristic,v3Ae37e16ccp8003,1,17,carbink|ironhands|mamoswine|orthworm|regigigas|sinistcha,cetitan|crawdaunt|palossand|pawmot|zarudedada|zebstrika,4,2,2.0,6,0,0.0,bodypress|drainpunch|iciclecrash|matchagotcha|moonblast
battle-gen9randombattle-16752,v3,simple_heuristic,Oppe37e16ccp8003,0,20,ambipom|braviary|bronzong|kilowattrel|mesprit|sylveon,alcremiemintcream|arceusgrass|banette|giratina|grafaiai|wugtrio,6,0,0.0,5,1,0.42,bravebird|doubleedge|earthquake|hurricane|hypervoice|ironhead|knockoff|psychicnoise|uturn
battle-gen9randombattle-16753,v3,simple_heuristic,Oppe37e16ccp8003,0,16,cryogonal|ironvaliant|tsareena|vaporeon|venusaur|walkingwake,carbink|gengar|ironmoth|misdreavus|ogerponwellspring,6,0,0.0,4,1,0.56,closecombat|gigadrain|hydropump|icebeam|powerwhip|scald|terablast
battle-gen9randombattle-16754,v3,simple_heuristic,Oppe37e16ccp8003,0,14,cloyster|hitmonlee|manaphy|palossand|pikachuhoenn|virizion,arceusground|gurdurr|klefki|miraidon|toedscruel|toxtricity,6,0,0.0,5,1,0.73,earthpower|highjumpkick|hydropump|icebeam|iciclespear|knockoff|leafblade|shadowball|stoneedge|surf
battle-gen9randombattle-16755,v3,simple_heuristic,Oppe37e16ccp8003,0,18,chienpao|conkeldurr|magmortar|raikou|skeledirge|slowking,calyrex|darkrai|hitmontop|lucario|primarina|slowbro,6,0,0.0,5,1,0.64,closecombat|fireblast|iciclecrash|knockoff|scald|shadowball|thunderbolt|torchsong
battle-gen9randombattle-16756,v3,simple_heuristic,Oppe37e16ccp8003,0,26,espeon|heatran|malamar|miraidon|trevenant|zaciancrowned,dudunsparcethreesegment|dunsparce|giratinaorigin|metagross|regieleki|rillaboom,6,0,0.0,5,1,0.46,behemothblade|earthpower|overheat|playrough|poltergeist|psychic|superpower
