matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9737,97.37,25.2638,3.5619,0.0312,0.3136451312113254,Baseline,✅ N=10k
max_power,10000,8055,80.55,18.8666,1.9168,0.1875,0.7757837282860756,Baseline,✅ N=10k
v22,10000,6657,66.57,19.7417,1.4218,0.6191,0.9246035525984806,Pure Imitation,✅ N=10k
v1,10000,5153,51.53,17.6117,0.9439,0.4859,0.9795230768482155,Heuristic (Basic),✅ N=10k
one_step,10000,5078,50.78,17.3058,0.9255,0.4923,0.979862740805507,Baseline,✅ N=10k
v2,10000,5064,50.63999999999999,17.4979,0.9128,0.495,0.9799017088566768,Heuristic (Basic),✅ N=10k
v3,10000,5053,50.529999999999994,17.5711,0.906,0.4976,0.9799269353351086,Heuristic (Basic),✅ N=10k
safe_one_step,10000,5010,50.1,17.3199,0.9054,0.4958,0.9799800323040826,Baseline,✅ N=10k
v6,10000,4984,49.84,17.5651,0.899,0.5061,0.9799769747493818,Heuristic (Basic),✅ N=10k
v4,10000,4950,49.5,17.4391,0.9041,0.5081,0.9799329919453746,Heuristic (Basic),✅ N=10k
v5,10000,4906,49.059999999999995,17.5101,0.8767,0.5156,0.9798087945472498,Heuristic (Basic),✅ N=10k
v16,10000,4035,40.35,18.4465,0.6752,1.3434,0.9615571123290195,Minimax Search,✅ N=10k
v15,10000,4022,40.22,18.2724,0.6758,1.3571,0.9610524263467646,Minimax Search,✅ N=10k
v19,1000,397,39.7,17.582,0.654,1.296,3.0325083158085278,Imitation Learning,⚠️ N=1k (high variance)
v7,10000,3932,39.32,17.232,0.6751,0.6969,0.9573651883761896,Heuristic (Strategic),✅ N=10k
v8,10000,3878,38.78,17.2083,0.6502,0.7054,0.9549896306836135,Heuristic (Strategic),✅ N=10k
v10,10000,3791,37.91,17.2345,0.6343,0.7047,0.9509021145568144,Heuristic (Tactical),✅ N=10k
v18,1000,372,37.2,17.883,0.634,1.315,2.9957073352637082,MCTS Search,⚠️ N=1k (high variance)
v17,10000,3622,36.22,18.1508,0.5937,1.4733,0.9420296482918049,MCTS Search,✅ N=10k
v9,10000,3613,36.13,17.2367,0.6629,0.7347,0.9415221246647645,Heuristic (Strategic),✅ N=10k
v21,10000,3555,35.55,17.5296,0.58,1.3843,0.9381652757551479,Imitation Learning,✅ N=10k
v11,10000,3515,35.15,17.2701,0.6355,0.7243,0.9357627342947993,Heuristic (Tactical),✅ N=10k
v20,1000,346,34.599999999999994,17.453,0.555,1.494,2.94832268888931,Imitation Learning,⚠️ N=1k (high variance)
v14,10000,3323,33.23,17.6813,0.5397,1.537,0.9232173334248509,Heuristic (Prediction),✅ N=10k
abyssal,10000,3202,32.019999999999996,17.2968,0.572,0.7691,0.9144276192021863,Baseline,✅ N=10k
simple_heuristic,10000,3199,31.990000000000002,17.2579,0.5996,0.7691,0.9142008031340316,Baseline,✅ N=10k
v13,10000,2724,27.24,18.178,0.4858,2.1083,0.872565400009679,Heuristic (Advanced),✅ N=10k
v12,10000,2389,23.89,17.0536,0.4076,0.8639,0.8357512346888866,Heuristic (Tera),✅ N=10k
