agent,elo
simple_heuristic,1174.3964965429316
abyssal,1168.8407437648941
one_step,1052.4929609435565
safe_one_step,1051.216457843499
v6,1050.1764688274839
v2,1048.7669084833296
v3,1047.9539409137453
v1,1046.3731090994509
v4,949.5473274029418
v5,888.4083591781513
max_power,846.014694533171
random,522.4945086010814
