agent,elo
simple_heuristic,1167.3081051903105
abyssal,1162.656640501718
one_step,1051.8607096856617
v6,1051.0773525307893
safe_one_step,1049.8229892549598
v2,1049.5396886067213
v3,1048.6516906645936
v1,1045.5909069299053
v4,943.537872139335
v5,894.206847985917
max_power,848.6578237777572
random,516.3421779099613
