agent,elo
abyssal,1276.7407302634278
simple_heuristic,1275.0551011604168
safe_one_step,1036.9969553178503
one_step,1035.2844130086141
v6,1034.3649109120622
v1,1032.9108517926863
v2,1032.743750482114
v3,1032.2625340237196
v4,938.4889804664582
v5,880.4700425585556
max_power,808.2900286636881
random,506.9764734611146
