agent,elo
simple_heuristic,1161.8297534048168
abyssal,1148.6900130654649
safe_one_step,1058.272194184792
one_step,1057.7900280553652
v6,1057.6671367603585
v1,1054.7161997690453
v2,1054.4990111883126
v3,1054.3416376487512
v4,959.2709092179549
v5,911.4603957212629
max_power,866.9925593607261
random,526.7546515054622
