agent,elo
simple_heuristic,1177.5726980977572
abyssal,1176.8858057451503
v6,1051.0452349377179
one_step,1050.977876903419
safe_one_step,1049.5957410508217
v2,1049.5732980976115
v3,1048.6083886709616
v1,1046.8267059590853
v4,950.2183223518717
v5,888.544537568129
max_power,829.573532554228
random,517.3682958129559
