matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9734,97.34,25.0898,3.5426,0.0317,0.3153803133159919,Baseline,✅ N=10k
max_power,10000,7987,79.86999999999999,18.8365,1.8937,0.1959,0.7858901049929274,Baseline,✅ N=10k
v22,10000,6619,66.19,19.7276,1.3948,0.6278,0.9271860033102511,Pure Imitation,✅ N=10k
one_step,10000,5054,50.54,17.3298,0.9224,0.4964,0.9799248380535722,Baseline,✅ N=10k
v1,10000,5033,50.33,17.7027,0.9183,0.4926,0.9799606480297939,Heuristic (Basic),✅ N=10k
safe_one_step,10000,5028,50.28,17.3785,0.8998,0.4951,0.9799666260319159,Baseline,✅ N=10k
v2,10000,5013,50.129999999999995,17.547,0.9152,0.4998,0.9799786799252952,Heuristic (Basic),✅ N=10k
v3,10000,4958,49.58,17.445,0.8933,0.5072,0.9799474178954369,Heuristic (Basic),✅ N=10k
v6,10000,4958,49.58,17.4725,0.8979,0.5063,0.9799474178954369,Heuristic (Basic),✅ N=10k
v4,10000,4910,49.1,17.5648,0.871,0.5126,0.9798232223258719,Heuristic (Basic),✅ N=10k
v5,10000,4873,48.730000000000004,17.5629,0.8793,0.5189,0.9796658186750936,Heuristic (Basic),✅ N=10k
v19,1000,405,40.5,17.953,0.687,1.266,3.042524509871312,Imitation Learning,⚠️ N=1k (high variance)
v15,10000,4023,40.23,18.3354,0.6698,1.3598,0.9610914975729147,Minimax Search,✅ N=10k
v16,10000,3984,39.839999999999996,18.5318,0.665,1.3495,0.9595368757944568,Minimax Search,✅ N=10k
v7,10000,3755,37.55,17.309,0.6407,0.7184,0.9491159745194827,Heuristic (Strategic),✅ N=10k
v10,10000,3742,37.419999999999995,17.1928,0.6207,0.7049,0.9484572530179742,Heuristic (Tactical),✅ N=10k
v8,10000,3669,36.69,17.1905,0.6126,0.7304,0.944622103740461,Heuristic (Strategic),✅ N=10k
v17,10000,3555,35.55,18.0661,0.5829,1.4882,0.9381652757551479,MCTS Search,✅ N=10k
v18,1000,353,35.3,17.764,0.562,1.374,2.962017254367624,MCTS Search,⚠️ N=1k (high variance)
v20,1000,352,35.199999999999996,17.672,0.555,1.465,2.9601036994758263,Imitation Learning,⚠️ N=1k (high variance)
v9,10000,3496,34.96,17.1748,0.6419,0.751,0.9345963257021819,Heuristic (Strategic),✅ N=10k
v21,10000,3481,34.81,17.4384,0.572,1.4238,0.9336639558822943,Imitation Learning,✅ N=10k
v11,10000,3471,34.71,17.2617,0.6265,0.7371,0.9330367119600533,Heuristic (Tactical),✅ N=10k
v14,10000,3256,32.56,17.7065,0.5295,1.5469,0.9184363626386663,Heuristic (Prediction),✅ N=10k
simple_heuristic,10000,3138,31.380000000000003,17.3556,0.5811,0.774,0.9094941657966723,Baseline,✅ N=10k
abyssal,10000,3124,31.240000000000002,17.2312,0.5544,0.7681,0.9083883120054657,Baseline,✅ N=10k
v13,10000,2725,27.250000000000004,17.9734,0.5024,2.1067,0.8726655728771366,Heuristic (Advanced),✅ N=10k
v12,10000,2405,24.05,17.0884,0.4162,0.8574,0.8376633618723477,Heuristic (Tera),✅ N=10k
