matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9757,97.57000000000001,25.0222,3.5733,0.0321,0.30179315155224373,Baseline,✅ N=10k
max_power,10000,8048,80.47999999999999,18.675,1.9505,0.1916,0.7768407189998683,Baseline,✅ N=10k
v22,10000,6726,67.25999999999999,19.7786,1.4388,0.6192,0.9197416634013867,Pure Imitation,✅ N=10k
v6,10000,5207,52.07000000000001,17.56,0.9387,0.4814,0.9791418071369703,Heuristic (Basic),✅ N=10k
v1,10000,5178,51.78,17.4681,0.9402,0.4785,0.9793608004003338,Heuristic (Basic),✅ N=10k
one_step,10000,5121,51.21,17.2265,0.932,0.4901,0.9796949919171748,Baseline,✅ N=10k
v3,10000,5110,51.1,17.4314,0.936,0.4874,0.9797448079251184,Heuristic (Basic),✅ N=10k
v2,10000,5108,51.080000000000005,17.5105,0.9327,0.4959,0.9797533553995544,Heuristic (Basic),✅ N=10k
safe_one_step,10000,5101,51.01,17.2439,0.9213,0.4902,0.9797820359443382,Baseline,✅ N=10k
v4,10000,5069,50.690000000000005,17.4586,0.9274,0.4948,0.979888673941626,Heuristic (Basic),✅ N=10k
v5,10000,5011,50.11,17.3243,0.9107,0.506,0.9799796207107361,Heuristic (Basic),✅ N=10k
v15,10000,4149,41.49,18.331,0.7029,1.2982,0.9656836034537793,Minimax Search,✅ N=10k
v18,1000,414,41.4,17.811,0.714,1.248,3.0527909783273364,MCTS Search,⚠️ N=1k (high variance)
v16,10000,4105,41.05,18.5372,0.6917,1.313,0.9641543754270198,Minimax Search,✅ N=10k
v19,1000,408,40.8,17.785,0.762,1.253,3.046064013961585,Imitation Learning,⚠️ N=1k (high variance)
v7,10000,4010,40.1,17.4163,0.6871,0.6878,0.960580328380666,Heuristic (Strategic),✅ N=10k
v10,10000,3947,39.47,17.2515,0.6594,0.6813,0.9580032693255179,Heuristic (Tactical),✅ N=10k
v8,10000,3874,38.74,17.2281,0.6636,0.7048,0.9548087613423264,Heuristic (Strategic),✅ N=10k
v21,10000,3655,36.55,17.3894,0.6069,1.3719,0.9438600292111483,Imitation Learning,✅ N=10k
v17,10000,3644,36.44,18.2338,0.6058,1.4374,0.9432552246938539,MCTS Search,✅ N=10k
v9,10000,3636,36.36,17.2305,0.6639,0.74,0.9428120265847643,Heuristic (Strategic),✅ N=10k
v11,10000,3508,35.08,17.1657,0.6377,0.7297,0.935334899002082,Heuristic (Tactical),✅ N=10k
v14,10000,3331,33.31,17.7837,0.5547,1.5232,0.9237740667680686,Heuristic (Prediction),✅ N=10k
v20,1000,327,32.7,17.456,0.552,1.497,2.907565449184209,Imitation Learning,⚠️ N=1k (high variance)
abyssal,10000,3250,32.5,17.327,0.5964,0.7665,0.917997837028919,Baseline,✅ N=10k
simple_heuristic,10000,3113,31.130000000000003,17.2732,0.5751,0.7737,0.9075126612551967,Baseline,✅ N=10k
v13,10000,2750,27.500000000000004,18.0453,0.4964,2.0935,0.8751519024580197,Heuristic (Advanced),✅ N=10k
v12,10000,2478,24.779999999999998,17.0752,0.4311,0.8561,0.8461851638481335,Heuristic (Tera),✅ N=10k
