heuristic,opponent,games,wins,turns,tera,win_rate,paradigm
v6,v17,10000,3622,181508,0,0.3622,Heuristic
v6,v18,1000,372,17883,0,0.372,Heuristic
v6,v19,1000,397,17582,0,0.397,Heuristic
v6,v2,10000,5064,174979,0,0.5064,Heuristic
v6,v20,1000,346,17453,0,0.346,Heuristic
v6,v21,10000,3555,175296,0,0.3555,Heuristic
v6,v22,10000,6657,197417,0,0.6657,Heuristic
v6,v3,10000,5053,175711,0,0.5053,Heuristic
v6,v4,10000,4950,174391,0,0.495,Heuristic
v6,v5,10000,4906,175101,0,0.4906,Heuristic
v6,v6,10000,4984,175651,0,0.4984,Heuristic
v6,v7,10000,3932,172320,0,0.3932,Heuristic
v6,v8,10000,3878,172083,0,0.3878,Heuristic
v6,v9,10000,3613,172367,0,0.3613,Heuristic
v7,abyssal,10000,4080,175726,0,0.408,Heuristic
v7,max_power,10000,8569,179740,0,0.8569,Heuristic
v7,one_step,10000,6091,171593,0,0.6091,Heuristic
v7,random,10000,9761,236367,0,0.9761,Heuristic
v7,safe_one_step,10000,6051,171034,0,0.6051,Heuristic
v7,simple_heuristic,10000,4067,176483,0,0.4067,Heuristic
v7,v1,10000,6109,173004,0,0.6109,Heuristic
v7,v10,10000,4836,173194,0,0.4836,Heuristic
v7,v11,10000,4609,175869,0,0.4609,Heuristic
v7,v12,10000,3197,176046,0,0.3197,Heuristic
v7,v13,10000,3376,188476,0,0.3376,Heuristic
v7,v14,10000,4201,182207,0,0.4201,Heuristic
v7,v15,10000,5107,185613,0,0.5107,Heuristic
v7,v16,10000,5037,186226,0,0.5037,Heuristic
v7,v17,10000,4578,183799,0,0.4578,Heuristic
v7,v18,1000,501,17853,0,0.501,Heuristic
v7,v19,1000,480,18218,0,0.48,Heuristic
v7,v2,10000,6147,173336,0,0.6147,Heuristic
v7,v20,1000,427,18217,0,0.427,Heuristic
v7,v21,10000,4483,179168,0,0.4483,Heuristic
v7,v22,10000,7049,193751,0,0.7049,Heuristic
v7,v3,10000,6046,172466,0,0.6046,Heuristic
v7,v4,10000,5972,172813,0,0.5972,Heuristic
v7,v5,10000,5901,172631,0,0.5901,Heuristic
v7,v6,10000,6131,173008,0,0.6131,Heuristic
v7,v7,10000,5024,174810,0,0.5024,Heuristic
v7,v8,10000,4884,174377,0,0.4884,Heuristic
v7,v9,10000,4529,175701,0,0.4529,Heuristic
v8,abyssal,10000,4230,177605,19,0.423,Heuristic
v8,max_power,10000,8701,177457,12,0.8701,Heuristic
v8,one_step,10000,6144,170398,17,0.6144,Heuristic
v8,random,10000,9767,234691,8,0.9767,Heuristic
v8,safe_one_step,10000,6209,169848,15,0.6209,Heuristic
v8,simple_heuristic,10000,4280,175531,15,0.428,Heuristic
v8,v1,10000,6182,172743,13,0.6182,Heuristic
v8,v10,10000,5081,173978,12,0.5081,Heuristic
v8,v11,10000,4599,175536,15,0.4599,Heuristic
v8,v12,10000,3286,176040,15,0.3286,Heuristic
v8,v13,10000,3420,187237,28,0.342,Heuristic
v8,v14,10000,4331,181949,19,0.4331,Heuristic
v8,v15,10000,5136,184558,18,0.5136,Heuristic
v8,v16,10000,5194,186399,14,0.5194,Heuristic
v8,v17,10000,4754,184199,17,0.4754,Heuristic
v8,v18,1000,502,17995,0,0.502,Heuristic
v8,v19,1000,525,18160,0,0.525,Heuristic
v8,v2,10000,6214,171801,19,0.6214,Heuristic
v8,v20,1000,444,18053,4,0.444,Heuristic
v8,v21,10000,4661,178427,25,0.4661,Heuristic
v8,v22,10000,7123,193042,18,0.7123,Heuristic
v8,v3,10000,6159,173142,19,0.6159,Heuristic
v8,v4,10000,6097,171638,19,0.6097,Heuristic
v8,v5,10000,6139,171140,10,0.6139,Heuristic
v8,v6,10000,6223,171589,18,0.6223,Heuristic
v8,v7,10000,5161,173550,12,0.5161,Heuristic
v8,v8,10000,4992,174416,8,0.4992,Heuristic
v8,v9,10000,4680,175270,15,0.468,Heuristic
v9,abyssal,10000,4664,175597,9,0.4664,Heuristic
v9,max_power,10000,8794,176158,7,0.8794,Heuristic
v9,one_step,10000,6549,171207,6,0.6549,Heuristic
v9,random,10000,9843,219760,14,0.9843,Heuristic
v9,safe_one_step,10000,6548,170416,8,0.6548,Heuristic
v9,simple_heuristic,10000,4701,176554,15,0.4701,Heuristic
v9,v1,10000,6511,172973,12,0.6511,Heuristic
v9,v10,10000,5379,174826,12,0.5379,Heuristic
v9,v11,10000,4940,174837,15,0.494,Heuristic
v9,v12,10000,3769,176315,11,0.3769,Heuristic
v9,v13,10000,4187,187418,22,0.4187,Heuristic
v9,v14,10000,4574,182163,15,0.4574,Heuristic
v9,v15,10000,5539,185152,21,0.5539,Heuristic
v9,v16,10000,5599,187842,13,0.5599,Heuristic
v9,v17,10000,5084,185241,12,0.5084,Heuristic
v9,v18,1000,564,18146,2,0.564,Heuristic
v9,v19,1000,560,18637,2,0.56,Heuristic
v9,v2,10000,6469,173021,13,0.6469,Heuristic
v9,v20,1000,469,18117,0,0.469,Heuristic
v9,v21,10000,4995,178712,14,0.4995,Heuristic
v9,v22,10000,7565,191353,27,0.7565,Heuristic
v9,v3,10000,6427,172786,11,0.6427,Heuristic
v9,v4,10000,6369,173230,14,0.6369,Heuristic
v9,v5,10000,6449,172080,12,0.6449,Heuristic
v9,v6,10000,6470,172050,12,0.647,Heuristic
v9,v7,10000,5511,175418,20,0.5511,Heuristic
v9,v8,10000,5358,174654,14,0.5358,Heuristic
v9,v9,10000,5032,175128,21,0.5032,Heuristic
