battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-61373,v1,max_power,v1Ad216bb43p8002,1,10,eiscuenoice|flygon|ironjugulis|metagross|miniorviolet|tatsugiri,baxcalibur|chandelure|chimecho|houndstone|kilowattrel|skarmory,5,1,0.345,6,0,0.0
battle-gen9randomdoublesbattle-61374,v1,max_power,Oppd216bb43p8002,0,8,crawdaunt|glimmora|hippowdon|hypno|sceptile|slowkinggalar,falinks|krookodile|magnezone|necrozmaduskmane|smeargle|virizion,6,0,0.0,5,1,0.91
battle-gen9randomdoublesbattle-61375,v1,max_power,v1Ad216bb43p8002,1,9,azumarill|bombirdier|dipplin|jolteon|koraidon|zamazentacrowned,cetitan|cramorant|garchomp|porygon2|rillaboom|torkoal,4,2,1.421,6,0,0.0
battle-gen9randomdoublesbattle-61376,v1,max_power,v1Ad216bb43p8002,1,11,ambipom|dragalge|electivire|flapple|furret|hippowdon,braviaryhisui|calyrex|darkrai|eiscue|ironjugulis|raikou,5,1,0.291,6,0,0.0
battle-gen9randomdoublesbattle-61377,v1,max_power,Oppd216bb43p8002,0,9,cloyster|eelektross|mimikyubusted|necrozmadawnwings|plusle|regidrago,clawitzer|dipplin|dondozo|infernape|pecharunt|vileplume,6,0,0.0,4,2,1.38
battle-gen9randomdoublesbattle-61378,v1,max_power,v1Ad216bb43p8002,1,7,hawlucha|hooh|infernape|palkiaorigin|shiftry|wyrdeer,copperajah|espathra|eternatus|hitmonlee|leavanny|sandyshocks,3,3,2.123,6,0,0.0
battle-gen9randomdoublesbattle-61379,v1,max_power,v1Ad216bb43p8002,1,9,darkrai|hitmonlee|jolteon|miraidon|sawsbuck|ursalunabloodmoon,bronzong|dragapult|golduck|metagross|overqwil|toedscruel,2,4,2.432,6,0,0.0
battle-gen9randomdoublesbattle-61380,v1,max_power,Oppd216bb43p8002,0,8,arceuspsychic|cresselia|eiscue|registeel|scizor|slaking,kyogre|lanturn|mandibuzz|mienshao,6,0,0.0,2,2,1.46
battle-gen9randomdoublesbattle-61381,v1,max_power,v1Ad216bb43p8002,1,8,archaludon|bellibolt|blissey|hatterene|sandaconda|stonjourner,calyrex|grimmsnarl|hippowdon|lumineon|regieleki|roaringmoon,3,3,2.524,6,0,0.0
battle-gen9randomdoublesbattle-61382,v1,max_power,v1Ad216bb43p8002,1,8,ambipom|bombirdier|groudon|pecharunt|zacian|zebstrika,arceusfighting|gumshoos|mudsdale|oinkologne|qwilfishhisui|veluza,2,4,2.709,6,0,0.0
battle-gen9randomdoublesbattle-61383,v1,max_power,Oppd216bb43p8002,0,8,duraludon|honchkrow|luvdisc|lycanrocdusk|seviper|vileplume,cyclizar|decidueyehisui|glalie|probopass|vaporeon,6,0,0.0,3,2,0.68
battle-gen9randomdoublesbattle-61384,v1,max_power,v1Ad216bb43p8002,1,6,hippowdon|illumise|ironjugulis|lumineon|pelipper|sylveon,dragapult|rhyperior|smeargle|spiritomb|tinkaton|wyrdeer,2,4,3.178,6,0,0.0
battle-gen9randomdoublesbattle-61385,v1,max_power,v1Ad216bb43p8002,1,7,houndoom|illumise|indeedee|ironbundle|ironvaliant|rhyperior,floatzel|greninja|hooh|ironvaliant|venomoth|wochien,4,2,2.0,6,0,0.0
battle-gen9randomdoublesbattle-61386,v1,max_power,v1Ad216bb43p8002,1,7,basculegion|cinccino|honchkrow|mamoswine|mandibuzz|porygon2,altaria|eelektross|furret|kommoo|venomoth|zapdosgalar,4,2,1.577,6,0,0.0
battle-gen9randomdoublesbattle-61387,v1,max_power,v1Ad216bb43p8002,1,7,arboliva|kricketune|mewtwo|palkia|regigigas|sceptile,articunogalar|calyrexshadow|electabuzz|typhlosion|volbeat|zebstrika,4,2,0.764,6,0,0.0
battle-gen9randomdoublesbattle-61388,v1,max_power,v1Ad216bb43p8002,1,11,articunogalar|moltres|roaringmoon|typhlosionhisui|venusaur|wyrdeer,baxcalibur|chesnaught|goodrahisui|ironthorns|oranguru|zapdos,2,4,2.234,6,0,0.0
battle-gen9randomdoublesbattle-61389,v1,max_power,v1Ad216bb43p8002,1,8,ceruledge|kyuremblack|ludicolo|metagross|munkidori|zamazenta,chimecho|falinks|fluttermane|kommoo|squawkabillyyellow|vileplume,3,3,1.836,6,0,0.0
battle-gen9randomdoublesbattle-61390,v1,max_power,v1Ad216bb43p8002,1,8,ariados|comfey|ironmoth|lycanrocmidnight|mudsdale|regidrago,gallade|heatran|hitmonlee|mewtwo|rayquaza|sandslash,2,4,2.917,6,0,0.0
battle-gen9randomdoublesbattle-61391,v1,max_power,v1Ad216bb43p8002,1,9,abomasnow|arbok|blastoise|dedenne|tinglu|zekrom,delphox|houndstone|passimian|porygonz|registeel|tyranitar,2,4,2.743,6,0,0.0
