battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-61839,v1,v2,v2B2f90cce2p8000,0,9,goodra|haxorus|ironcrown|mabosstiff|muk|registeel,articunogalar|deoxysdefense|tatsugiri|volcarona,6,0,0.0,2,2,0.67
battle-gen9randomdoublesbattle-61840,v1,v2,v2B2f90cce2p8000,0,6,clawitzer|dragalge|klawf|ludicolo|regieleki|snorlax,baxcalibur|calyrex|electrode|hooh|sandyshocks|ursaluna,6,0,0.0,4,2,2.0
battle-gen9randomdoublesbattle-61841,v1,v2,v2B2f90cce2p8000,0,8,dudunsparcethreesegment|grumpig|lurantis|sableye|swanna|toxtricitylowkey,arboliva|crabominable|kyogre|mandibuzz|ogerponwellspring|tyranitar,6,0,0.0,5,1,0.5
battle-gen9randomdoublesbattle-61842,v1,v2,v2B2f90cce2p8000,0,6,camerupt|emboar|garganacl|quaquaval|toucannon|umbreon,bruxish|electivire|hatterene|ragingbolt|tropius,6,0,0.0,4,1,1.0
battle-gen9randomdoublesbattle-61843,v1,v2,v2B2f90cce2p8000,0,6,annihilape|basculinbluestriped|blastoise|jolteon|porygonz|rayquaza,annihilape|braviaryhisui|cetitan|pyroar|rillaboom|trevenant,6,0,0.0,4,2,1.62
battle-gen9randomdoublesbattle-61844,v1,v2,v1A2f90cce2p8000,1,8,garchomp|hooh|kilowattrel|salazzle|slaking|uxie,cyclizar|regice|screamtail|spectrier|toxicroak|zekrom,3,3,1.832,6,0,0.0
battle-gen9randomdoublesbattle-61845,v1,v2,v2B2f90cce2p8000,0,8,altaria|arboliva|galvantula|goodrahisui|magmar|polteageist,flygon|regidrago|registeel|revavroom|scrafty|slowkinggalar,6,0,0.0,4,2,0.58
battle-gen9randomdoublesbattle-61846,v1,v2,v2B2f90cce2p8000,0,7,bronzong|drifblim|flareon|fluttermane|flygon|rhyperior,calyrexshadow|feraligatr|fezandipiti|probopass|slitherwing|vikavolt,6,0,0.0,5,1,0.36
battle-gen9randomdoublesbattle-61847,v1,v2,v2B2f90cce2p8000,0,12,deoxysdefense|dusknoir|ironcrown|kleavor|smeargle|zekrom,glalie|ninetalesalola|okidogi|quagsire|regidrago|reuniclus,6,0,0.0,5,1,0.58
battle-gen9randomdoublesbattle-61848,v1,v2,v1A2f90cce2p8000,1,9,bellossom|mewtwo|palossand|qwilfish|sandslashalola|wigglytuff,alomomola|falinks|hitmonlee|necrozmadawnwings|sandaconda|sawsbuckautumn,5,1,0.57,6,0,0.0
battle-gen9randomdoublesbattle-61849,v1,v2,v1A2f90cce2p8000,1,6,hatterene|kommoo|luxray|probopass|torterra|zarudedada,enamorus|honchkrow|skeledirge|tatsugiri|terrakion|zebstrika,5,1,0.807,6,0,0.0
battle-gen9randomdoublesbattle-61850,v1,v2,v1A2f90cce2p8000,1,6,delibird|espeon|raikou|regieleki|wochien|zangoose,barraskewda|basculegionf|indeedee|mightyena|squawkabillyblue|venusaur,3,3,2.831,6,0,0.0
battle-gen9randomdoublesbattle-61851,v1,v2,v2B2f90cce2p8000,0,8,hitmontop|houndoom|palafin|revavroom|sunflora|umbreon,chimecho|fluttermane|kilowattrel|kleavor|mandibuzz|shaymin,6,0,0.0,4,2,1.54
battle-gen9randomdoublesbattle-61852,v1,v2,v1A2f90cce2p8000,1,6,bombirdier|cacturne|clefairy|latios|lucario|munkidori,eiscue|glimmora|oricoriopau|regieleki|sandyshocks|slitherwing,4,2,1.421,6,0,0.0
battle-gen9randomdoublesbattle-61853,v1,v2,v1A2f90cce2p8000,1,6,ariados|fluttermane|ironboulder|lokix|mimikyubusted|serperior,honchkrow|hooh|persianalola|rotommow|terapagos|walkingwake,4,2,1.903,6,0,0.0
battle-gen9randomdoublesbattle-61854,v1,v2,v2B2f90cce2p8000,0,7,incineroar|ironbundle|pincurchin|spectrier|vileplume|zoroarkhisui,araquanid|dragonite|gallade|ironboulder|overqwil|reshiram,6,0,0.0,5,1,0.81
battle-gen9randomdoublesbattle-61855,v1,v2,v1A2f90cce2p8000,1,11,charizard|cresselia|emboar|granbull|tinglu|uxie,cobalion|espathra|mienshao|phione|thundurus|toucannon,4,2,0.779,6,0,0.0
battle-gen9randomdoublesbattle-61856,v1,v2,v2B2f90cce2p8000,0,7,altaria|avalugghisui|ironvaliant|mewtwo|mienshao|skarmory,electabuzz|hariyama|mesprit|sandaconda|terapagos|vigoroth,6,0,0.0,4,2,0.79
