battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randomdoublesbattle-97850,V1_B_3b84,17,0,banette|corviknight|goodra|indeedee|lycanroc|sunflora,lokix|lugia|necrozmadawnwings|regirock|roaringmoon|staraptor,6,3,
battle-gen9randomdoublesbattle-97851,V1_B_3b84,27,0,cryogonal|giratinaorigin|klefki|lumineon|mewtwo|zebstrika,basculegionf|camerupt|ceruledge|oricoriopompom|sawsbuckwinter|zarudedada,6,5,
battle-gen9randomdoublesbattle-97852,V1_B_3b84,17,0,alcremielemoncream|arboliva|bruxish|indeedee|luxray|urshifu,dewgong|exeggutoralola|gallade|kommoo|plusle|regirock,6,4,
battle-gen9randomdoublesbattle-97853,V1_A_3b84,12,1,espeon|golduck|okidogi|raichu|tauros|zangoose,banette|gothitelle|ironmoth|mabosstiff|sawsbuckwinter|thundurus,4,6,
battle-gen9randomdoublesbattle-97854,V1_B_3b84,23,0,banette|meganium|scizor|snorlax|spiritomb|zamazenta,armarouge|electabuzz|gogoat|kricketune|squawkabillywhite|vaporeon,6,3,
battle-gen9randomdoublesbattle-97855,V1_B_3b84,15,0,froslass|rampardos|rillaboom|sinistchamasterpiece|tatsugiri|toucannon,donphan|empoleon|ironhands|lanturn|lurantis|vivillonarchipelago,6,2,
battle-gen9randomdoublesbattle-97856,V1_A_3b84,19,1,abomasnow|baxcalibur|blaziken|oinkologne|pawmot|serperior,dialga|diancie|klefki|lokix|oricoriopau|whiscash,5,6,
battle-gen9randomdoublesbattle-97857,V1_B_3b84,17,0,diancie|froslass|reshiram|swampert|tentacruel|umbreon,azumarill|beartic|darkrai|emboar|ironjugulis|swalot,6,5,
battle-gen9randomdoublesbattle-97858,V1_B_3b84,16,0,camerupt|indeedeef|ironleaves|palkia|sunflora|toxtricitylowkey,charizard|gengar|irontreads|kyogre|ludicolo|passimian,6,4,
battle-gen9randomdoublesbattle-97859,V1_B_3b84,16,0,azelf|cresselia|lycanrocmidnight|mandibuzz|moltres|mukalola,cacturne|dugtrio|excadrill|fluttermane|minioryellow|overqwil,6,5,
battle-gen9randomdoublesbattle-97860,V1_A_3b84,15,1,bruxish|drednaw|gallade|grafaiai|kommoo|morpeko,ampharos|bronzong|jumpluff|overqwil|ursaluna|vileplume,4,6,
battle-gen9randomdoublesbattle-97861,V1_A_3b84,12,1,azelf|brutebonnet|golurk|mew|muk|primarina,cinderace|giratinaorigin|indeedee|klawf|regieleki|spectrier,5,6,
battle-gen9randomdoublesbattle-97862,V1_A_3b84,18,1,drifblim|lunala|meowscarada|politoed|zebstrika|zekrom,chimecho|dragalge|incineroar|malamar|stonjourner|taurospaldeaaqua,4,6,
battle-gen9randomdoublesbattle-97863,V1_A_3b84,17,1,chiyu|hydrapple|ironvaliant|lycanroc|snorlax|whiscash,amoonguss|blastoise|dewgong|magcargo|sudowoodo|yanmega,4,6,
battle-gen9randomdoublesbattle-97864,V1_A_3b84,10,1,braviary|eelektross|groudon|mabosstiff|smeargle|swampert,annihilape|dachsbun|donphan|glalie|ogerponhearthflame|phione,3,6,
battle-gen9randomdoublesbattle-97865,V1_B_3b84,11,0,arceusbug|bruxish|flamigo|glastrier|komala|shiftry,delibird|dragalge|infernape|magmar|sawsbuck|tauros,6,3,
battle-gen9randomdoublesbattle-97866,V1_B_3b84,18,0,clodsire|cobalion|gliscor|inteleon|mimikyubusted|scyther,electabuzz|hitmonlee|rhydon|skuntank|suicune|wugtrio,6,5,
battle-gen9randomdoublesbattle-97867,V1_B_3b84,17,0,braviaryhisui|dodrio|emboar|excadrill|farigiraf|mimikyubusted,greattusk|ironcrown|mimikyu|moltresgalar|persianalola|zapdos,6,4,
battle-gen9randomdoublesbattle-97868,V1_B_3b84,21,0,electabuzz|houndstone|regice|screamtail|suicune|virizion,corviknight|lunala|mudsdale|plusle|skuntank|slaking,6,4,
battle-gen9randomdoublesbattle-97869,V1_A_3b84,11,1,calyrexshadow|ironjugulis|lilliganthisui|pecharunt|quaquaval|toucannon,gholdengo|latias|palkiaorigin|pikachu|vaporeon|volbeat,1,6,
battle-gen9randomdoublesbattle-97870,V1_B_3b84,10,0,falinks|keldeoresolute|miniorviolet|mudsdale|shiftry|weezing,deoxys|kricketune|palkia|regirock|registeel|zekrom,6,1,
battle-gen9randomdoublesbattle-97871,V1_A_3b84,16,1,golduck|gumshoos|lokix|sylveon|tinkaton|torterra,delibird|flamigo|jirachi|lanturn|oinkolognef|vaporeon,2,6,
battle-gen9randomdoublesbattle-97872,V1_A_3b84,16,1,charizard|conkeldurr|giratina|infernape|kyogre|mesprit,azumarill|comfey|donphan|incineroar|palkiaorigin|pawmot,2,6,
battle-gen9randomdoublesbattle-97873,V1_B_3b84,14,0,ariados|magcargo|manaphy|meowsticf|regirock|shayminsky,drifblim|indeedeef|palkia|rabsca|regirock|sableye,6,4,
battle-gen9randomdoublesbattle-97874,V1_B_3b84,14,0,banette|crabominable|hitmonchan|lurantis|lycanrocmidnight|oinkolognef,braviary|hitmonlee|ironthorns|sawsbucksummer|scyther|vaporeon,6,4,
battle-gen9randomdoublesbattle-97875,V1_A_3b84,20,1,comfey|froslass|gengar|goodrahisui|houndoom|ironleaves,fluttermane|hippowdon|minun|rampardos|solgaleo|venomoth,5,6,
battle-gen9randomdoublesbattle-97876,V1_A_3b84,16,1,beartic|crabominable|dragonite|forretress|moltresgalar|sandaconda,flamigo|gothitelle|haxorus|meowscarada|pachirisu|reshiram,4,6,
battle-gen9randomdoublesbattle-97877,V1_A_3b84,36,1,decidueye|hitmonchan|ragingbolt|salamence|screamtail|spectrier,blissey|delphox|deoxysattack|krookodile|zapdos|zekrom,5,6,
battle-gen9randomdoublesbattle-97878,V1_A_3b84,21,1,forretress|hitmontop|milotic|orthworm|urshifurapidstrike|venomoth,eiscue|fezandipiti|miniororange|ogerponwellspring|snorlax|volcanion,2,6,
battle-gen9randomdoublesbattle-97879,V1_B_3b84,16,0,bellossom|exeggutoralola|jolteon|latios|necrozmadawnwings|talonflame,duraludon|electrodehisui|heracross|ironmoth|qwilfish|wyrdeer,6,5,
