battle_id,winner,turns,team_us,team_opp
battle-gen9randomdoublesbattle-123287,us,14,arceusflying|copperajah|regigigas|rhydon|solgaleo|vespiquen,azumarill|ironmoth|minun|ogerponwellspring|scyther|swalot
battle-gen9randomdoublesbattle-123288,opp,22,golurk|perrserker|revavroom|slowking|volcarona|wyrdeer,brutebonnet|chimecho|irontreads|mightyena|ninetales|raikou
battle-gen9randomdoublesbattle-123289,opp,18,bastiodon|gothitelle|hitmonchan|ironjugulis|jolteon|lycanrocmidnight,dipplin|dragapult|glimmora|lugia|plusle|skeledirge
battle-gen9randomdoublesbattle-123290,opp,19,crawdaunt|glastrier|heracross|noivern|salazzle|sceptile,amoonguss|kingambit|scyther|snorlax|urshifu
battle-gen9randomdoublesbattle-123291,us,17,chandelure|charizard|kingdra|scizor|tinglu|whimsicott,bronzong|flareon|hitmonchan|keldeoresolute|swanna|yanmega
battle-gen9randomdoublesbattle-123292,opp,13,archaludon|brambleghast|dondozo|indeedee|raichu|uxie,appletun|dudunsparcethreesegment|hydreigon|ogerponhearthflame|pyroar|skuntank
battle-gen9randomdoublesbattle-123293,opp,17,blastoise|cacturne|farigiraf|hydreigon|noctowl|plusle,banette|calyrex|dusknoir|regieleki|salazzle|spidops
battle-gen9randomdoublesbattle-123294,us,21,articunogalar|electabuzz|greedent|lanturn|lugia|rampardos,camerupt|goodrahisui|latias|meowscarada|sandslashalola|wyrdeer
battle-gen9randomdoublesbattle-123295,us,14,clawitzer|clefable|gothitelle|ludicolo|polteageistantique|sableye,basculegionf|kricketune|quaquaval|rayquaza|tyranitar|zacian
battle-gen9randomdoublesbattle-123296,opp,20,beartic|jolteon|mabosstiff|noctowl|spiritomb|vaporeon,darkrai|dedenne|goodrahisui|hypno|ironcrown|oinkologne
battle-gen9randomdoublesbattle-123297,us,9,armarouge|braviary|carbink|entei|medicham|politoed,arcaninehisui|baxcalibur|ceruledge|cyclizar|mienshao|munkidori
battle-gen9randomdoublesbattle-123298,opp,16,alcremielemoncream|eelektross|kingambit|mew|salazzle|smeargle,deoxysattack|gumshoos|sneasler|talonflame|torkoal|toucannon
battle-gen9randomdoublesbattle-123299,opp,12,arceusflying|clefable|copperajah|mabosstiff|slowking|virizion,fluttermane|gardevoir|grumpig|illumise|tsareena|vivillonsandstorm
battle-gen9randomdoublesbattle-123300,opp,18,blissey|delibird|fluttermane|necrozmaduskmane|rhyperior|shiftry,clawitzer|delibird|garchomp|keldeoresolute|mimikyu|weezing
battle-gen9randomdoublesbattle-123301,opp,22,blaziken|dodrio|overqwil|rillaboom|seviper|tauros,dachsbun|dialgaorigin|entei|irontreads|landorus|malamar
battle-gen9randomdoublesbattle-123302,us,16,hitmontop|necrozma|probopass|quaquaval|ragingbolt|whiscash,forretress|gyarados|hitmonlee|ironmoth|regice|tinkaton
battle-gen9randomdoublesbattle-123303,us,7,araquanid|brutebonnet|magearnaoriginal|overqwil|passimian|raikou,golduck|jolteon|meowscarada|palossand|pelipper|porygonz
battle-gen9randomdoublesbattle-123304,us,13,ambipom|espathra|gardevoir|gliscor|granbull|mightyena,arboliva|articunogalar|breloom|kyuremwhite|oricorio|terrakion
battle-gen9randomdoublesbattle-123305,opp,16,calyrexshadow|chimecho|gyarados|mienshao|zarude|zekrom,arcanine|electabuzz|enamorustherian|minun|phione|politoed
battle-gen9randomdoublesbattle-123306,us,18,arbok|azumarill|thundurus|vigoroth|wugtrio|zekrom,dachsbun|fluttermane|houndstone|meowscarada|ragingbolt|venusaur
battle-gen9randomdoublesbattle-123307,opp,23,articuno|avalugg|clefable|latias|oranguru|pikachuworld,ambipom|armarouge|ditto|dondozo|donphan|toxtricity
battle-gen9randomdoublesbattle-123308,us,20,camerupt|deoxysattack|drifblim|hydreigon|infernape|toucannon,beartic|darkrai|empoleon|lokix|poliwrath|revavroom
battle-gen9randomdoublesbattle-123309,us,16,alomomola|cinderace|grumpig|krookodile|meganium|miniororange,ariados|carbink|clawitzer|froslass|taurospaldeablaze|typhlosionhisui
battle-gen9randomdoublesbattle-123310,us,13,bruxish|cetitan|garganacl|grimmsnarl|inteleon|magmortar,hawlucha|kyogre|kyuremwhite|mightyena|toucannon|zacian
battle-gen9randomdoublesbattle-123311,opp,16,giratinaorigin|glimmora|golem|illumise|metagross|veluza,cobalion|deoxysspeed|flapple|lumineon|miraidon|muk
battle-gen9randomdoublesbattle-123312,us,20,basculegionf|dudunsparce|hooh|ironcrown|oinkologne|rotomfrost,avalugghisui|jolteon|leavanny|mausholdfour|miraidon|screamtail
battle-gen9randomdoublesbattle-123313,us,16,altaria|araquanid|gengar|shiftry|terrakion|toxapex,arceusdragon|azelf|delibird|golem|ironmoth|lanturn
battle-gen9randomdoublesbattle-123314,opp,26,entei|granbull|hypno|palafin|venusaur|vespiquen,cresselia|kyogre|lapras|magcargo|volbeat|zamazentacrowned
battle-gen9randomdoublesbattle-123315,us,9,articuno|basculinbluestriped|eelektross|meowscarada|morpeko|stonjourner,banette|garchomp|honchkrow|kyuremblack|magmar|stonjourner
