matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9712,97.11999999999999,25.0476,3.5566,0.0364,0.327792242787645,Baseline,✅ N=10k
max_power,10000,7997,79.97,18.8061,1.8932,0.1954,0.7844262413812346,Baseline,✅ N=10k
v22,10000,6529,65.29,19.6776,1.3881,0.6465,0.9330367119600533,Pure Imitation,✅ N=10k
v2,10000,5094,50.94,17.5152,0.9326,0.4967,0.9798087945472498,Heuristic (Basic),✅ N=10k
v3,10000,5082,50.82,17.4975,0.9311,0.4939,0.9798501954290909,Heuristic (Basic),✅ N=10k
one_step,10000,5059,50.59,17.3511,0.9049,0.4964,0.9799137635486007,Baseline,✅ N=10k
v1,10000,4985,49.85,17.5533,0.9124,0.4984,0.9799775823411395,Heuristic (Basic),✅ N=10k
safe_one_step,10000,4981,49.81,17.3475,0.897,0.5025,0.9799749167745002,Baseline,✅ N=10k
v4,10000,4890,48.9,17.563,0.8917,0.5144,0.9797448079251184,Heuristic (Basic),✅ N=10k
v6,10000,4876,48.76,17.5868,0.885,0.5169,0.9796805818557707,Heuristic (Basic),✅ N=10k
v5,10000,4847,48.47,17.3981,0.8667,0.5213,0.9795230768482155,Heuristic (Basic),✅ N=10k
v19,1000,403,40.300000000000004,17.969,0.692,1.274,3.0400993719443123,Imitation Learning,⚠️ N=1k (high variance)
v16,10000,3979,39.79,18.4187,0.6605,1.3818,0.9593329783909752,Minimax Search,✅ N=10k
v18,1000,397,39.7,17.982,0.651,1.292,3.0325083158085278,MCTS Search,⚠️ N=1k (high variance)
v15,10000,3950,39.5,18.3605,0.6591,1.369,0.9581297520040688,Minimax Search,✅ N=10k
v7,10000,3860,38.6,17.3444,0.6562,0.7084,0.9541703759495944,Heuristic (Strategic),✅ N=10k
v8,10000,3818,38.18,17.2587,0.6435,0.71,0.9522052100463937,Heuristic (Strategic),✅ N=10k
v10,10000,3765,37.65,17.2503,0.6231,0.7062,0.9496177203883673,Heuristic (Tactical),✅ N=10k
v17,10000,3611,36.11,18.1435,0.5922,1.4645,0.9414088556198774,MCTS Search,✅ N=10k
v9,10000,3545,35.449999999999996,17.2317,0.6437,0.7371,0.9375713634570605,Heuristic (Strategic),✅ N=10k
v20,1000,354,35.4,17.304,0.592,1.508,2.963916613117878,Imitation Learning,⚠️ N=1k (high variance)
v21,10000,3491,34.910000000000004,17.4802,0.5715,1.407,0.9342866670592498,Imitation Learning,✅ N=10k
v11,10000,3423,34.23,17.1871,0.6167,0.7433,0.9299625539443138,Heuristic (Tactical),✅ N=10k
v14,10000,3242,32.42,17.7684,0.5329,1.539,0.917410465269682,Heuristic (Prediction),✅ N=10k
simple_heuristic,10000,3151,31.509999999999998,17.4175,0.5822,0.7734,0.9105124230877096,Baseline,✅ N=10k
abyssal,10000,3105,31.05,17.2799,0.5562,0.7811,0.9068720739760928,Baseline,✅ N=10k
v13,10000,2630,26.3,17.9315,0.4794,2.1366,0.862898490364865,Heuristic (Advanced),✅ N=10k
v12,10000,2440,24.4,17.0964,0.4205,0.8618,0.8417902707328715,Heuristic (Tera),✅ N=10k
