matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9729,97.28999999999999,25.1347,3.5732,0.0338,0.31824884645243395,Baseline,✅ N=10k
max_power,10000,8087,80.87,18.6448,1.9217,0.1855,0.7709022222363212,Baseline,✅ N=10k
v22,10000,6623,66.23,19.6516,1.413,0.6232,0.9269173233652337,Pure Imitation,✅ N=10k
v1,10000,5197,51.970000000000006,17.524,0.9522,0.4746,0.9792210544201998,Heuristic (Basic),✅ N=10k
v3,10000,5137,51.370000000000005,17.3932,0.9396,0.4887,0.9796140575591367,Heuristic (Basic),✅ N=10k
safe_one_step,10000,5133,51.33,17.3523,0.932,0.4867,0.9796352328916813,Baseline,✅ N=10k
v6,10000,5132,51.32,17.3986,0.9374,0.489,0.9796404286209373,Heuristic (Basic),✅ N=10k
v2,10000,5073,50.73,17.4617,0.9237,0.4977,0.9798775402227446,Heuristic (Basic),✅ N=10k
one_step,10000,5028,50.28,17.2602,0.9138,0.4933,0.9799666260319159,Baseline,✅ N=10k
v4,10000,5014,50.13999999999999,17.5928,0.9003,0.5032,0.9799781507330879,Heuristic (Basic),✅ N=10k
v5,10000,4966,49.66,17.4575,0.8814,0.5076,0.9799593348244426,Heuristic (Basic),✅ N=10k
v15,10000,4042,40.42,18.2763,0.6785,1.3214,0.9618259608902103,Minimax Search,✅ N=10k
v16,10000,4034,40.339999999999996,18.519,0.6726,1.3356,0.9615185394472094,Minimax Search,✅ N=10k
v7,10000,3972,39.72,17.2911,0.6791,0.6939,0.9590457668901141,Heuristic (Strategic),✅ N=10k
v19,1000,394,39.4,18.024,0.7,1.284,3.0285344209109,Imitation Learning,⚠️ N=1k (high variance)
v8,10000,3935,39.35,17.3189,0.6566,0.6932,0.9574935607431069,Heuristic (Strategic),✅ N=10k
v10,10000,3869,38.690000000000005,17.1437,0.6603,0.6953,0.9545817210213864,Heuristic (Tactical),✅ N=10k
v18,1000,383,38.3,17.934,0.633,1.316,3.012937064356057,MCTS Search,⚠️ N=1k (high variance)
v17,10000,3659,36.59,18.169,0.594,1.4475,0.9440786413631891,MCTS Search,✅ N=10k
v21,10000,3596,35.96,17.5436,0.5991,1.3741,0.9405536955786189,Imitation Learning,✅ N=10k
v11,10000,3559,35.589999999999996,17.2789,0.6457,0.7282,0.9384015892138043,Heuristic (Tactical),✅ N=10k
v9,10000,3508,35.08,17.2713,0.6385,0.7474,0.935334899002082,Heuristic (Strategic),✅ N=10k
v14,10000,3317,33.17,17.7894,0.5345,1.514,0.9227978146039577,Heuristic (Prediction),✅ N=10k
v20,1000,326,32.6,17.258,0.521,1.531,2.905272272814023,Imitation Learning,⚠️ N=1k (high variance)
simple_heuristic,10000,3153,31.53,17.3896,0.5815,0.771,0.9106683442577094,Baseline,✅ N=10k
abyssal,10000,3133,31.330000000000002,17.2796,0.5652,0.7814,0.9091003231882971,Baseline,✅ N=10k
v13,10000,2682,26.82,17.9188,0.4968,2.1203,0.8683077561145577,Heuristic (Advanced),✅ N=10k
v12,10000,2444,24.44,17.0983,0.4245,0.8581,0.8422570724152976,Heuristic (Tera),✅ N=10k
