matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9863,98.63,21.2225,4.0668,0.0167,0.22783103923182552,Baseline,✅ N=10k
max_power,10000,9075,90.75,17.487,2.707,0.0913,0.5678613025023298,Baseline,✅ N=10k
v22,10000,7487,74.87,19.5473,1.8827,0.4456,0.8501552711406268,Pure Imitation,✅ N=10k
v4,10000,6815,68.15,17.7504,1.5359,0.5192,0.9131365770450333,Heuristic (Basic),✅ N=10k
v1,10000,6776,67.75999999999999,17.7318,1.5478,0.5224,0.9160776893917427,Heuristic (Basic),✅ N=10k
one_step,10000,6755,67.55,17.5289,1.5394,0.3269,0.9176310877097872,Baseline,✅ N=10k
v3,10000,6741,67.41,17.6665,1.5522,0.5345,0.9186549824262902,Heuristic (Basic),✅ N=10k
safe_one_step,10000,6739,67.39,17.6155,1.5353,0.5359,0.918800491004749,Baseline,✅ N=10k
v2,10000,6707,67.07,17.7154,1.5455,0.5438,0.9211028149676472,Heuristic (Basic),✅ N=10k
v6,10000,6690,66.9,17.7566,1.5369,0.5409,0.9223062397033246,Heuristic (Basic),✅ N=10k
v5,10000,6567,65.67,17.7142,1.4937,0.5593,0.9306116839970673,Heuristic (Basic),✅ N=10k
v15,10000,6007,60.07,19.2877,1.2901,0.8065,0.9599012607642886,Minimax Search,✅ N=10k
v18,1000,598,59.8,18.673,1.274,0.805,3.0388671156527804,MCTS Search,⚠️ N=1k (high variance)
v16,10000,5934,59.34,19.5054,1.2561,0.8235,0.9627323141266615,Minimax Search,✅ N=10k
v7,10000,5890,58.9,18.3087,1.2694,0.7406,0.9643321574306298,Heuristic (Strategic),✅ N=10k
v19,1000,582,58.199999999999996,18.892,1.277,0.847,3.05701608772866,Imitation Learning,⚠️ N=1k (high variance)
v8,10000,5787,57.87,18.209,1.2316,0.7693,0.9677664491448267,Heuristic (Strategic),✅ N=10k
v10,10000,5676,56.76,18.2466,1.2118,0.7792,0.9709841194958219,Heuristic (Tactical),✅ N=10k
v17,10000,5670,56.699999999999996,19.4464,1.1804,0.8827,0.9711438598515851,MCTS Search,✅ N=10k
v21,10000,5474,54.74,18.8798,1.1358,0.8736,0.9755684851170361,Imitation Learning,✅ N=10k
v9,10000,5401,54.010000000000005,18.2683,1.2362,0.9377,0.9768252663477062,Heuristic (Strategic),✅ N=10k
v20,1000,537,53.7,18.81,1.128,0.917,3.0904785196600235,Imitation Learning,⚠️ N=1k (high variance)
v11,10000,5360,53.6,18.2615,1.2085,0.9375,0.9774385783986184,Heuristic (Tactical),✅ N=10k
abyssal,10000,5136,51.35999999999999,18.3245,1.1635,0.5544,0.9796194102558686,Baseline,✅ N=10k
simple_heuristic,10000,5066,50.660000000000004,18.3734,1.1523,1.0453,0.9798966125195565,Baseline,✅ N=10k
v14,10000,4969,49.69,19.5187,1.0279,1.0462,0.9799631568351252,Heuristic (Prediction),✅ N=10k
v12,10000,4474,44.74,18.3827,0.9674,1.2364,0.974544155267881,Heuristic (Tera),✅ N=10k
v13,10000,4160,41.6,20.3443,0.9363,1.5026,0.9660535035569788,Heuristic (Advanced),✅ N=10k
