matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9761,97.61,23.6367,3.8546,0.0306,0.29936029483153076,Baseline,✅ N=10k
max_power,10000,8569,85.69,17.974,2.2641,0.1379,0.6863299947402088,Baseline,✅ N=10k
v22,10000,7049,70.49,19.3751,1.6405,0.5287,0.8939154655955567,Pure Imitation,✅ N=10k
v2,10000,6147,61.47,17.3336,1.2438,0.387,0.9538480629519492,Heuristic (Basic),✅ N=10k
v6,10000,6131,61.309999999999995,17.3008,1.2361,0.388,0.9545817210213864,Heuristic (Basic),✅ N=10k
v1,10000,6109,61.09,17.3004,1.2428,0.3872,0.9555727774560083,Heuristic (Basic),✅ N=10k
one_step,10000,6091,60.91,17.1593,1.2357,0.3916,0.9563684178746102,Baseline,✅ N=10k
safe_one_step,10000,6051,60.51,17.1034,1.2128,0.3969,0.9580876330615878,Baseline,✅ N=10k
v3,10000,6046,60.46,17.2466,1.2343,0.3958,0.9582978083993021,Heuristic (Basic),✅ N=10k
v4,10000,5972,59.72,17.2813,1.1933,0.4106,0.9612862304584543,Heuristic (Basic),✅ N=10k
v5,10000,5901,59.01,17.2631,1.2024,0.4129,0.9639396786379053,Heuristic (Basic),✅ N=10k
v15,10000,5107,51.07000000000001,18.5613,0.9526,1.0421,0.9797575702964227,Minimax Search,✅ N=10k
v16,10000,5037,50.370000000000005,18.6226,0.9299,1.0472,0.9799551599957397,Minimax Search,✅ N=10k
v7,10000,5024,50.239999999999995,17.481,0.9485,0.5752,0.9799707028124485,Heuristic (Strategic),✅ N=10k
v18,1000,501,50.1,17.853,0.947,1.005,3.098968963566287,MCTS Search,⚠️ N=1k (high variance)
v8,10000,4884,48.84,17.4377,0.9199,0.5949,0.9797182240188342,Heuristic (Strategic),✅ N=10k
v10,10000,4836,48.36,17.3194,0.9083,0.5908,0.9794546984976474,Heuristic (Tactical),✅ N=10k
v19,1000,480,48.0,18.218,0.92,1.022,3.0964949889274065,Imitation Learning,⚠️ N=1k (high variance)
v11,10000,4609,46.089999999999996,17.5869,0.9136,0.6084,0.9769809847248132,Heuristic (Tactical),✅ N=10k
v17,10000,4578,45.78,18.3799,0.8515,1.1606,0.9764853719576585,MCTS Search,✅ N=10k
v9,10000,4529,45.29,17.5701,0.9167,0.6324,0.9756242998773222,Heuristic (Strategic),✅ N=10k
v21,10000,4483,44.83,17.9168,0.8118,1.1086,0.9747291461253665,Imitation Learning,✅ N=10k
v20,1000,427,42.699999999999996,18.217,0.802,1.205,3.065768372069312,Imitation Learning,⚠️ N=1k (high variance)
v14,10000,4201,42.01,18.2207,0.7637,1.2507,0.9673886466398249,Heuristic (Prediction),✅ N=10k
abyssal,10000,4080,40.8,17.5726,0.8073,0.6792,0.9632500182793541,Baseline,✅ N=10k
simple_heuristic,10000,4067,40.67,17.6483,0.831,0.681,0.9627695615773585,Baseline,✅ N=10k
v13,10000,3376,33.76,18.8476,0.667,1.8223,0.9268500375932784,Heuristic (Advanced),✅ N=10k
v12,10000,3197,31.97,17.6046,0.6004,0.7817,0.9140493510194692,Heuristic (Tera),✅ N=10k
